
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1995,7,1995-10-22,23-265,STL,,SFO,L 10-44,5,26,5.20,0,0,0,0,,0
2,1995,9,1995-11-05,23-279,STL,@,NOR,L 10-19,12,55,4.58,0,1,0,0,,0
3,1995,11,1995-11-19,23-293,STL,@,ATL,L 6-31,0,0,,0,,0,0,,0
4,1995,13,1995-12-03,23-307,STL,@,NYJ,W 23-20,5,9,1.80,0,1,1,-3,-3.00,0
,,,4 Games,,,,,1-3-0,22,90,4.09,0,2,1,-3,-3.00,0
