
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Tkl,Ast
1,2011,2,2011-09-19,25-229,STL,@,NYG,L 16-28,4,90,22.50,0,0,0,,0,0.0,0,0
2,2011,4,2011-10-02,25-242,STL,,WAS,L 10-17,1,13,13.00,0,1,1,1.00,0,0.0,0,0
3,2011,5,2011-10-16,25-256,STL,@,GNB,L 3-24,2,40,20.00,0,0,0,,0,0.0,0,0
4,2011,6,2011-10-23,25-263,STL,@,DAL,L 7-34,5,114,22.80,0,0,0,,0,0.0,0,0
5,2011,7,2011-10-30,25-270,STL,,NOR,W 31-21,0,0,,0,0,0,,0,0.0,0,0
6,2011,8,2011-11-06,25-277,STL,@,ARI,L 13-19,3,55,18.33,0,0,0,,0,0.0,0,1
7,2011,9,2011-11-13,25-284,STL,@,CLE,W 13-12,3,52,17.33,0,0,0,,0,0.0,0,0
8,2011,10,2011-11-20,25-291,STL,,SEA,L 7-24,1,30,30.00,0,0,0,,0,0.0,0,0
9,2011,11,2011-11-27,25-298,STL,,ARI,L 20-23,5,137,27.40,0,0,0,,0,0.0,0,0
10,2011,12,2011-12-04,25-305,STL,@,SFO,L 0-26,1,23,23.00,0,0,0,,0,0.0,0,0
11,2011,15,2011-12-24,25-325,STL,@,PIT,L 0-27,,,,,,,,,,,
12,2011,16,2012-01-01,25-333,STL,,SFO,L 27-34,0,0,,0,0,0,,0,0.0,0,0
,,,12 Games,,,,,2-10-0,25,554,22.16,0,1,1,1.00,0,0.0,0,1
