
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2012,16,2012-12-30,25-041,CLE,@,PIT,L 10-24,*,22,32,68.75,204,1,1,83.3,6.38,5.59,1,3,3.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
2,2013,6,2013-10-13,25-328,BUF,,CIN,L 24-27,*,19,32,59.38,216,2,0,100.5,6.75,8.00,7,17,2.43,1,1,6,0.0,0,0
3,2013,7,2013-10-20,25-335,BUF,@,MIA,W 23-21,*,21,32,65.63,202,0,1,70.1,6.31,4.91,5,13,2.60,0,0,0,0.0,0,0
4,2013,8,2013-10-27,25-342,BUF,@,NOR,L 17-35,*,22,39,56.41,234,1,1,72.0,6.00,5.36,2,5,2.50,0,0,0,0.0,1,0
5,2013,12,2013-12-01,26-012,BUF,,ATL,L 31-34,,,,,,,,,,,,,,,,,,,
6,2013,15,2013-12-22,26-033,BUF,,MIA,W 19-0,*,15,25,60.00,193,0,1,67.6,7.72,5.92,8,13,1.63,0,0,0,0.0,0,0
7,2013,16,2013-12-29,26-040,BUF,@,NWE,L 20-34,*,16,29,55.17,247,1,0,95.0,8.52,9.21,2,4,2.00,0,0,0,0.0,0,0
,,,7 Games,,,,,2-5-0,,115,189,60.85,1296,5,4,81.4,6.86,6.43,25,55,2.20,1,1,6,0.0,1,0
