
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,2014,4,2014-10-05,23-096,ARI,@,DEN,L 20-41,,1,8,12.50,81,1,0,108.9,10.13,12.63
2,2014,15,2014-12-21,23-173,ARI,,SEA,L 6-35,,0,1,0.00,0,0,0,39.6,0.00,0.00
,,,2 Games,,,,,0-2-0,,1,9,11.11,81,1,0,101.6,9.00,11.22
