
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2005,16,2006-01-01,25-357,MIN,,CHI,W 34-10,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
2,2007,13,2007-12-09,27-334,SFO,,MIN,L 7-27,,22,27,81.48,181,1,0,106.9,6.70,7.44,1,3,3.00,0,0,0,0,,0,,0,0,0.0,0,0
3,2007,14,2007-12-15,27-340,SFO,,CIN,W 20-13,*,21,28,75.00,197,1,0,105.8,7.04,7.75,5,12,2.40,1,0,0,0,,0,,1,6,0.0,0,0
4,2007,15,2007-12-23,27-348,SFO,,TAM,W 21-19,*,11,24,45.83,123,3,1,83.9,5.13,5.75,6,-1,-0.17,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
5,2008,8,2008-10-26,28-291,SFO,,SEA,L 13-34,,15,23,65.22,173,1,0,102.3,7.52,8.39,2,20,10.00,0,0,0,0,,0,,0,0,0.0,0,0
6,2008,9,2008-11-10,28-306,SFO,@,ARI,L 24-29,*,19,40,47.50,217,2,2,60.1,5.43,4.18,2,12,6.00,0,0,0,0,,0,,0,0,0.0,0,0
7,2008,10,2008-11-16,28-312,SFO,,STL,W 35-16,*,15,20,75.00,213,2,0,142.3,10.65,12.65,3,5,1.67,1,0,0,0,,0,,1,6,0.0,0,0
8,2008,11,2008-11-23,28-319,SFO,@,DAL,L 22-35,*,21,33,63.64,303,2,1,100.9,9.18,9.03,1,0,0.00,0,0,0,0,,0,,0,0,0.0,0,0
9,2008,12,2008-11-30,28-326,SFO,@,BUF,W 10-3,*,14,23,60.87,161,1,0,96.5,7.00,7.87,4,0,0.00,0,0,0,0,,0,,0,0,0.0,0,0
10,2008,13,2008-12-07,28-333,SFO,,NYJ,W 24-14,*,28,39,71.79,285,2,1,98.8,7.31,7.18,1,8,8.00,0,0,0,0,,0,,0,0,0.0,0,0
11,2008,14,2008-12-14,28-340,SFO,@,MIA,L 9-14,*,30,46,65.22,233,0,0,77.5,5.07,5.07,3,17,5.67,0,0,0,0,,0,,0,0,0.0,0,0
12,2008,15,2008-12-21,28-347,SFO,@,STL,W 17-16,*,18,34,52.94,216,2,3,55.5,6.35,3.56,4,45,11.25,0,0,0,0,,0,,0,0,0.0,0,0
13,2008,16,2008-12-28,28-354,SFO,,WAS,W 27-24,*,21,30,70.00,245,1,1,91.7,8.17,7.33,4,8,2.00,1,0,0,0,,0,,1,6,0.0,1,0
