
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,22-363,IND,@,CHI,L 21-41,*,23,45,51.11,309,1,3,52.9,6.87,4.31,2,9,4.50,0,0,0,0.0,0,0
2,2012,2,2012-09-16,23-004,IND,,MIN,W 23-20,*,20,31,64.52,224,2,0,107.5,7.23,8.52,4,21,5.25,0,0,0,0.0,0,0
3,2012,3,2012-09-23,23-011,IND,,JAX,L 17-22,*,22,46,47.83,313,2,1,75.7,6.80,6.70,4,50,12.50,0,0,0,0.0,0,0
4,2012,4,2012-10-07,23-025,IND,,GNB,W 30-27,*,31,55,56.36,362,2,1,81.0,6.58,6.49,6,24,4.00,1,1,6,0.0,0,0
5,2012,5,2012-10-14,23-032,IND,@,NYJ,L 9-35,*,22,44,50.00,280,0,2,51.3,6.36,4.32,1,-1,-1.00,0,0,0,0.0,0,0
6,2012,6,2012-10-21,23-039,IND,,CLE,W 17-13,*,16,29,55.17,186,0,0,74.8,6.41,6.41,3,12,4.00,2,2,12,0.0,0,0
7,2012,7,2012-10-28,23-046,IND,@,TEN,W 19-13,*,26,38,68.42,297,1,1,89.5,7.82,7.16,6,28,4.67,0,0,0,0.0,0,0
8,2012,8,2012-11-04,23-053,IND,,MIA,W 23-20,*,30,48,62.50,433,2,0,105.6,9.02,9.85,1,5,5.00,0,0,0,0.0,0,0
9,2012,9,2012-11-08,23-057,IND,@,JAX,W 27-10,*,18,26,69.23,227,0,1,80.1,8.73,7.00,7,11,1.57,2,2,12,0.0,0,0
10,2012,10,2012-11-18,23-067,IND,@,NWE,L 24-59,*,27,50,54.00,334,2,3,63.2,6.68,4.78,1,4,4.00,0,0,0,0.0,0,0
11,2012,11,2012-11-25,23-074,IND,,BUF,W 20-13,*,20,37,54.05,240,1,1,71.9,6.49,5.81,6,20,3.33,0,0,0,0.0,0,0
12,2012,12,2012-12-02,23-081,IND,@,DET,W 35-33,*,24,54,44.44,391,4,3,70.8,7.24,6.22,3,33,11.00,0,0,0,0.0,0,0
13,2012,13,2012-12-09,23-088,IND,,TEN,W 27-23,*,16,34,47.06,196,1,2,50.6,5.76,3.71,5,7,1.40,0,0,0,0.0,0,0
14,2012,14,2012-12-16,23-095,IND,@,HOU,L 17-29,*,13,27,48.15,186,2,0,95.6,6.89,8.37,2,10,5.00,0,0,0,0.0,0,0
15,2012,15,2012-12-23,23-102,IND,@,KAN,W 20-13,*,17,35,48.57,205,1,0,76.5,5.86,6.43,6,21,3.50,0,0,0,0.0,0,0
16,2012,16,2012-12-30,23-109,IND,,HOU,W 28-16,*,14,28,50.00,191,2,0,96.0,6.82,8.25,5,1,0.20,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
17,2013,1,2013-09-08,23-361,IND,,OAK,W 21-17,*,18,23,78.26,178,2,0,127.9,7.74,9.48,6,38,6.33,1,1,6,0.0,0,0
18,2013,2,2013-09-15,24-003,IND,,MIA,L 20-24,*,25,43,58.14,321,1,1,79.7,7.47,6.88,4,38,9.50,0,0,0,0.0,0,0
19,2013,3,2013-09-22,24-010,IND,@,SFO,W 27-7,*,17,26,65.38,159,0,0,82.1,6.12,6.12,4,24,6.00,1,1,6,0.0,0,0
20,2013,4,2013-09-29,24-017,IND,@,JAX,W 37-3,*,21,35,60.00,257,2,1,89.8,7.34,7.20,2,26,13.00,0,0,0,0.0,0,0
21,2013,5,2013-10-06,24-024,IND,,SEA,W 34-28,*,16,29,55.17,229,2,0,104.0,7.90,9.28,4,9,2.25,0,0,0,0.0,0,0
22,2013,6,2013-10-14,24-032,IND,@,SDG,L 9-19,*,18,30,60.00,202,0,1,66.3,6.73,5.23,4,19,4.75,0,0,0,0.0,0,0
23,2013,7,2013-10-20,24-038,IND,,DEN,W 39-33,*,21,38,55.26,228,3,0,99.5,6.00,7.58,4,29,7.25,1,1,6,0.0,0,0
24,2013,8,2013-11-03,24-052,IND,@,HOU,W 27-24,*,18,40,45.00,271,3,0,92.8,6.78,8.28,0,0,,0,0,0,0.0,0,0
25,2013,9,2013-11-10,24-059,IND,,STL,L 8-38,*,29,47,61.70,353,1,3,65.3,7.51,5.06,4,17,4.25,0,0,0,0.0,1,0
26,2013,10,2013-11-14,24-063,IND,@,TEN,W 30-27,*,23,36,63.89,232,0,0,82.2,6.44,6.44,9,31,3.44,1,1,6,0.0,0,0
27,2013,11,2013-11-24,24-073,IND,@,ARI,L 11-40,*,20,39,51.28,163,1,1,60.1,4.18,3.54,2,31,15.50,0,0,0,0.0,0,0
28,2013,12,2013-12-01,24-080,IND,,TEN,W 22-14,*,17,32,53.13,200,0,1,59.4,6.25,4.84,5,42,8.40,0,0,0,0.0,0,0
29,2013,13,2013-12-08,24-087,IND,@,CIN,L 28-42,*,29,46,63.04,326,4,0,113.1,7.09,8.83,2,32,16.00,0,0,0,0.0,0,0
30,2013,14,2013-12-15,24-094,IND,,HOU,W 25-3,*,19,32,59.38,180,2,1,82.8,5.63,5.47,5,29,5.80,0,0,0,0.0,0,1
31,2013,15,2013-12-22,24-101,IND,@,KAN,W 23-7,*,26,37,70.27,241,1,0,96.8,6.51,7.05,6,5,0.83,0,0,0,0.0,0,0
32,2013,16,2013-12-29,24-108,IND,,JAX,W 30-10,*,26,37,70.27,282,1,0,101.4,7.62,8.16,2,7,3.50,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
33,2014,1,2014-09-07,24-360,IND,@,DEN,L 24-31,*,35,53,66.04,370,2,2,83.1,6.98,6.04,5,19,3.80,1,1,6,0.0,0,0
34,2014,2,2014-09-15,25-003,IND,,PHI,L 27-30,*,20,34,58.82,172,3,1,89.3,5.06,5.50,4,20,5.00,0,0,0,0.0,0,0
35,2014,3,2014-09-21,25-009,IND,@,JAX,W 44-17,*,31,39,79.49,370,4,0,140.4,9.49,11.54,3,15,5.00,0,0,0,0.0,0,0
36,2014,4,2014-09-28,25-016,IND,,TEN,W 41-17,*,29,41,70.73,393,4,1,123.3,9.59,10.44,1,-1,-1.00,0,0,0,0.0,0,1
37,2014,5,2014-10-05,25-023,IND,,BAL,W 20-13,*,32,49,65.31,312,1,2,72.8,6.37,4.94,6,22,3.67,1,1,6,0.0,0,0
38,2014,6,2014-10-09,25-027,IND,@,HOU,W 33-28,*,25,44,56.82,370,3,1,97.7,8.41,8.75,7,18,2.57,0,0,0,0.0,0,0
39,2014,7,2014-10-19,25-037,IND,,CIN,W 27-0,*,27,42,64.29,344,2,0,105.7,8.19,9.14,4,5,1.25,0,0,0,0.0,0,0
40,2014,8,2014-10-26,25-044,IND,@,PIT,L 34-51,*,26,45,57.78,400,3,2,91.0,8.89,8.22,3,26,8.67,0,0,0,0.0,0,0
41,2014,9,2014-11-03,25-052,IND,@,NYG,W 40-24,*,25,46,54.35,354,4,0,108.4,7.70,9.43,2,5,2.50,0,0,0,0.0,0,0
42,2014,10,2014-11-16,25-065,IND,,NWE,L 20-42,*,23,39,58.97,303,2,1,90.0,7.77,7.64,3,15,5.00,0,0,0,0.0,0,0
43,2014,11,2014-11-23,25-072,IND,,JAX,W 23-3,*,21,32,65.63,253,1,0,100.1,7.91,8.53,8,49,6.13,0,0,0,0.0,0,0
44,2014,12,2014-11-30,25-079,IND,,WAS,W 49-27,*,19,27,70.37,370,5,1,137.0,13.70,15.74,4,20,5.00,0,0,0,0.0,0,0
45,2014,13,2014-12-07,25-086,IND,@,CLE,W 25-24,*,24,53,45.28,294,2,2,59.8,5.55,4.60,5,37,7.40,1,1,6,0.0,0,0
46,2014,14,2014-12-14,25-093,IND,,HOU,W 17-10,*,18,34,52.94,187,2,1,76.5,5.50,5.35,8,18,2.25,0,0,0,0.0,0,0
47,2014,15,2014-12-21,25-100,IND,@,DAL,L 7-42,*,15,22,68.18,109,0,2,41.7,4.95,0.86,0,0,,0,0,0,0.0,2,0
48,2014,16,2014-12-28,25-107,IND,@,TEN,W 27-10,*,10,16,62.50,160,2,0,135.4,10.00,12.50,1,5,5.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
