
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2010,4,2010-10-03,23-361,NOR,,CAR,W 16-14,,,,,,,,,,,,,,,,,
2,2010,5,2010-10-10,24-003,NOR,@,ARI,L 20-30,,,,,,,,,,,,,,,,,
3,2010,6,2010-10-17,24-010,NOR,@,TAM,W 31-6,,,,,,,,,,,,,,,,,
4,2010,7,2010-10-24,24-017,NOR,,CLE,L 17-30,,,,,,,,,,,,,,,,,
5,2010,8,2010-10-31,24-024,NOR,,PIT,W 20-10,,0,0,,0,0,0,,,,0,0,,0,0.0,0,1
6,2010,9,2010-11-07,24-031,NOR,@,CAR,W 34-3,,0,0,,0,0,0,,,,1,16,16.00,0,0.0,0,0
7,2010,10,2010-11-21,24-045,NOR,,SEA,W 34-19,,,,,,,,,,,,,,,,,
8,2010,11,2010-11-25,24-049,NOR,@,DAL,W 30-27,,,,,,,,,,,,,,,,,
9,2010,12,2010-12-05,24-059,NOR,@,CIN,W 34-30,,,,,,,,,,,,,,,,,
10,2010,13,2010-12-12,24-066,NOR,,STL,W 31-13,,,,,,,,,,,,,,,,,
11,2010,14,2010-12-19,24-073,NOR,@,BAL,L 24-30,,,,,,,,,,,,,,,,,
12,2010,15,2010-12-27,24-081,NOR,@,ATL,W 17-14,,,,,,,,,,,,,,,,,
13,2010,16,2011-01-02,24-087,NOR,,TAM,L 13-23,,2,3,66.67,16,0,0,79.9,5.33,5.33,1,0,0.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
14,2011,1,2011-09-08,24-336,NOR,@,GNB,L 34-42,,,,,,,,,,,,,,,,,
15,2011,2,2011-09-18,24-346,NOR,,CHI,W 30-13,,,,,,,,,,,,,,,,,
16,2011,3,2011-09-25,24-353,NOR,,HOU,W 40-33,,,,,,,,,,,,,,,,,
17,2011,4,2011-10-02,24-360,NOR,@,JAX,W 23-10,,,,,,,,,,,,,,,,,
18,2011,5,2011-10-09,25-002,NOR,@,CAR,W 30-27,,,,,,,,,,,,,,,,,
19,2011,6,2011-10-16,25-009,NOR,@,TAM,L 20-26,,,,,,,,,,,,,,,,,
20,2011,7,2011-10-23,25-016,NOR,,IND,W 62-7,,,,,,,,,,,,,,,,,
21,2011,8,2011-10-30,25-023,NOR,@,STL,L 21-31,,,,,,,,,,,,,,,,,
22,2011,9,2011-11-06,25-030,NOR,,TAM,W 27-16,,,,,,,,,,,,,,,,,
23,2011,10,2011-11-13,25-037,NOR,@,ATL,W 26-23,,,,,,,,,,,,,,,,,
24,2011,11,2011-11-28,25-052,NOR,,NYG,W 49-24,,1,1,100.00,9,0,0,104.2,9.00,9.00,0,0,,0,0.0,0,0
25,2011,12,2011-12-04,25-058,NOR,,DET,W 31-17,,,,,,,,,,,,,,,,,
26,2011,13,2011-12-11,25-065,NOR,@,TEN,W 22-17,,,,,,,,,,,,,,,,,
27,2011,14,2011-12-18,25-072,NOR,@,MIN,W 42-20,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0.0,0,0
28,2011,15,2011-12-26,25-080,NOR,,ATL,W 45-16,,,,,,,,,,,,,,,,,
29,2011,16,2012-01-01,25-086,NOR,,CAR,W 45-17,,3,3,100.00,20,0,0,94.4,6.67,6.67,3,-3,-1.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
30,2012,1,2012-09-09,25-338,NOR,,WAS,L 32-40,,,,,,,,,,,,,,,,,
31,2012,2,2012-09-16,25-345,NOR,@,CAR,L 27-35,,,,,,,,,,,,,,,,,
32,2012,3,2012-09-23,25-352,NOR,,KAN,L 24-27,,,,,,,,,,,,,,,,,
33,2012,4,2012-09-30,25-359,NOR,@,GNB,L 27-28,,,,,,,,,,,,,,,,,
34,2012,5,2012-10-07,26-000,NOR,,SDG,W 31-24,,,,,,,,,,,,,,,,,
35,2012,6,2012-10-21,26-014,NOR,@,TAM,W 35-28,,,,,,,,,,,,,,,,,
36,2012,7,2012-10-28,26-021,NOR,@,DEN,L 14-34,,,,,,,,,,,,,,,,,
37,2012,8,2012-11-05,26-029,NOR,,PHI,W 28-13,,,,,,,,,,,,,,,,,
38,2012,9,2012-11-11,26-035,NOR,,ATL,W 31-27,,,,,,,,,,,,,,,,,
39,2012,10,2012-11-18,26-042,NOR,@,OAK,W 38-17,,1,1,100.00,10,0,0,108.3,10.00,10.00,3,17,5.67,0,0.0,0,0
40,2012,11,2012-11-25,26-049,NOR,,SFO,L 21-31,,,,,,,,,,,,,,,,,
41,2012,12,2012-11-29,26-053,NOR,@,ATL,L 13-23,,,,,,,,,,,,,,,,,
42,2012,13,2012-12-09,26-063,NOR,@,NYG,L 27-52,,,,,,,,,,,,,,,,,
43,2012,14,2012-12-16,26-070,NOR,,TAM,W 41-0,,,,,,,,,,,,,,,,,
44,2012,15,2012-12-23,26-077,NOR,@,DAL,W 34-31,,,,,,,,,,,,,,,,,
45,2012,16,2012-12-30,26-084,NOR,,CAR,L 38-44,,,,,,,,,,,,,,,,,
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
46,2013,1,2013-09-08,26-336,KAN,@,JAX,W 28-2,,0,0,,0,0,0,,,,1,-1,-1.00,0,0.0,0,0
