
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2014,12,2014-11-30,24-218,HOU,,TEN,W 45-21,,0,0,,0,0,0,,,,2,-2,-1.00,0
2,2014,14,2014-12-14,24-232,HOU,@,IND,L 10-17,,10,19,52.63,127,0,1,51.9,6.68,4.32,4,-4,-1.00,0
,,,2 Games,,,,,1-1-0,,10,19,52.63,127,0,1,51.9,6.68,4.32,6,-6,-1.00,0
