
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2004,9,2004-11-07,22-335,SDG,,NOR,W 43-17,,0,0,,0,0,0,,,,3,-4,-1.33,0,0,0,0,,0,,0,0,0.0,0,0
2,2004,16,2005-01-02,23-025,SDG,,KAN,W 24-17,,5,8,62.50,33,1,0,110.9,4.13,6.63,1,-1,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
3,2005,7,2005-10-23,23-319,SDG,@,PHI,L 17-20,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,0,0,0.0,0,0
4,2005,10,2005-11-20,23-347,SDG,,BUF,W 48-10,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
5,2005,16,2005-12-31,24-023,SDG,,DEN,L 7-23,,12,22,54.55,115,0,1,50.4,5.23,3.18,0,0,,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
6,2006,1,2006-09-11,24-277,SDG,@,OAK,W 27-0,*,8,11,72.73,108,1,0,133.9,9.82,11.64,3,2,0.67,0,0,0,0,,0,,0,0,0.0,0,0
7,2006,2,2006-09-17,24-283,SDG,,TEN,W 40-7,*,25,35,71.43,235,1,0,99.1,6.71,7.29,3,10,3.33,0,0,0,0,,0,,0,0,0.0,0,0
8,2006,3,2006-10-01,24-297,SDG,@,BAL,L 13-16,*,13,22,59.09,145,1,1,75.0,6.59,5.45,1,0,0.00,0,0,0,0,,0,,0,0,0.0,0,0
9,2006,4,2006-10-08,24-304,SDG,,PIT,W 23-13,*,24,37,64.86,242,2,1,90.1,6.54,6.41,6,24,4.00,0,0,0,0,,0,,0,0,0.0,0,0
10,2006,5,2006-10-15,24-311,SDG,@,SFO,W 48-19,*,29,39,74.36,334,2,0,116.8,8.56,9.59,2,2,1.00,0,0,0,0,,0,,0,0,0.0,0,0
11,2006,6,2006-10-22,24-318,SDG,@,KAN,L 27-30,*,25,43,58.14,266,2,1,82.1,6.19,6.07,2,2,1.00,0,0,0,0,,0,,0,0,0.0,0,0
12,2006,7,2006-10-29,24-325,SDG,,STL,W 38-24,*,15,23,65.22,206,1,0,108.2,8.96,9.83,4,4,1.00,0,0,0,0,,0,,0,0,0.0,0,0
13,2006,8,2006-11-05,24-332,SDG,,CLE,W 32-25,*,19,28,67.86,211,0,0,90.0,7.54,7.54,3,-3,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
14,2006,9,2006-11-12,24-339,SDG,@,CIN,W 49-41,*,24,36,66.67,338,3,0,124.5,9.39,11.06,3,2,0.67,0,0,0,0,,0,,0,0,0.0,0,0
