
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2008,9,2008-11-09,24-186,DET,,JAX,L 14-38,,6,8,75.00,94,1,0,153.1,11.75,14.25,1,4,4.00,0,0,0,0.0,0,0
2,2008,11,2008-11-23,24-200,DET,,TAM,L 20-38,,2,6,33.33,13,0,0,42.4,2.17,2.17,0,0,,0,0,0,0.0,0,0
3,2008,15,2008-12-21,24-228,DET,,NOR,L 7-42,,1,3,33.33,12,0,0,46.5,4.00,4.00,2,16,8.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
4,2009,6,2009-10-18,25-164,DET,@,GNB,L 0-26,,5,11,45.45,57,0,2,22.0,5.18,-3.00,0,0,,0,0,0,0.0,0,0
5,2009,14,2009-12-20,25-227,DET,,ARI,L 24-31,,10,19,52.63,72,0,1,39.8,3.79,1.42,3,10,3.33,1,1,6,0.0,0,0
6,2009,15,2009-12-27,25-234,DET,@,SFO,L 6-20,*,11,21,52.38,130,0,3,31.9,6.19,-0.24,6,23,3.83,0,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
7,2010,5,2010-10-10,26-156,DET,,STL,W 44-6,,1,1,100.00,11,0,0,112.5,11.00,11.00,3,-3,-1.00,0,0,0,0.0,0,0
8,2010,6,2010-10-17,26-163,DET,@,NYG,L 20-28,,19,34,55.88,222,1,1,73.4,6.53,5.79,3,30,10.00,0,0,0,0.0,0,0
9,2010,8,2010-11-07,26-184,DET,,NYJ,L 20-23,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6,6.00,0,0,0,0.0,0,0
10,2010,12,2010-12-05,26-212,DET,,CHI,L 20-24,*,16,24,66.67,178,1,0,102.4,7.42,8.25,5,12,2.40,1,1,6,0.0,0,0
11,2010,13,2010-12-12,26-219,DET,,GNB,W 7-3,*,10,22,45.45,117,1,2,39.4,5.32,2.14,4,44,11.00,0,0,0,0.0,0,0
12,2010,14,2010-12-19,26-226,DET,@,TAM,W 23-20,*,23,37,62.16,252,1,0,91.3,6.81,7.35,2,24,12.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
13,2014,2,2014-09-14,30-130,ARI,@,NYG,W 25-14,*,14,29,48.28,167,0,0,66.3,5.76,5.76,2,-2,-1.00,0,0,0,0.0,0,0
14,2014,3,2014-09-21,30-137,ARI,,SFO,W 23-14,*,18,33,54.55,244,2,0,98.5,7.39,8.61,6,16,2.67,0,0,0,0.0,0,0
15,2014,4,2014-10-05,30-151,ARI,@,DEN,L 20-41,*,11,26,42.31,118,0,0,56.2,4.54,4.54,0,0,,0,0,0,0.0,0,0
16,2014,9,2014-11-09,30-186,ARI,,STL,W 31-14,,3,5,60.00,85,1,0,143.7,17.00,21.00,2,3,1.50,0,0,0,0.0,0,0
17,2014,10,2014-11-16,30-193,ARI,,DET,W 14-6,*,21,32,65.63,306,2,2,91.4,9.56,8.00,4,-4,-1.00,0,0,0,0.0,1,0
18,2014,11,2014-11-23,30-200,ARI,@,SEA,L 3-19,*,14,26,53.85,149,0,1,54.8,5.73,4.00,4,23,5.75,0,0,0,0.0,0,0
19,2014,12,2014-11-30,30-207,ARI,@,ATL,L 18-29,*,24,39,61.54,294,1,2,72.0,7.54,5.74,1,7,7.00,0,0,0,0.0,0,0
20,2014,13,2014-12-07,30-214,ARI,,KAN,W 17-14,*,15,30,50.00,239,1,0,88.1,7.97,8.63,4,17,4.25,0,0,0,0.0,0,0
21,2014,14,2014-12-11,30-218,ARI,@,STL,W 12-6,*,12,20,60.00,109,0,0,74.8,5.45,5.45,2,3,1.50,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
22,2015,3,2015-09-27,31-143,ARI,,SFO,W 47-7,,0,0,,0,0,0,,,,3,-3,-1.00,0,0,0,0.0,0,0
23,2015,5,2015-10-11,31-157,ARI,@,DET,W 42-17,,1,4,25.00,10,0,0,39.6,2.50,2.50,3,-3,-1.00,0,0,0,0.0,0,0
,,,23 Games,,,,,11-12-0,,237,431,54.99,2879,12,14,71.5,6.68,5.77,61,223,3.66,2,2,12,0.0,2,0
