
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2011,12,2011-12-04,22-123,BAL,@,CLE,W 24-10,,0,0,,0,0,0,,,,1,2,2.00,0,0,0,0,,0,0,0,0.0,0,0
2,2011,13,2011-12-11,22-130,BAL,,IND,W 24-10,,,,,,,,,,,,,,,,,,,,,,,,
3,2011,14,2011-12-18,22-137,BAL,@,SDG,L 14-34,,1,1,100.00,18,0,0,118.7,18.00,18.00,0,0,,0,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
4,2012,1,2012-09-10,23-038,BAL,,CIN,W 44-13,,2,3,66.67,30,0,0,99.3,10.00,10.00,1,7,7.00,0,0,0,0,,0,0,0,0.0,0,0
5,2012,4,2012-09-27,23-055,BAL,,CLE,W 23-16,,,,,,,,,,,,,,,,,,,,,,,,
6,2012,5,2012-10-07,23-065,BAL,@,KAN,W 9-6,,,,,,,,,,,,,,,,,,,,,,,,
7,2012,8,2012-11-04,23-093,BAL,@,CLE,W 25-15,,0,0,,0,0,0,,,,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0
8,2012,9,2012-11-11,23-100,BAL,,OAK,W 55-20,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,,0,0,0,0.0,0,0
9,2012,15,2012-12-23,23-142,BAL,,NYG,W 33-14,,0,0,,0,0,0,,,,3,-3,-1.00,0,0,0,0,,0,0,0,0.0,0,0
10,2012,16,2012-12-30,23-149,BAL,@,CIN,L 17-23,,15,25,60.00,149,0,1,60.2,5.96,4.16,9,65,7.22,1,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
11,2013,9,2013-11-10,24-099,BAL,,CIN,W 20-17,,0,0,,0,0,0,,,,1,18,18.00,0,0,0,0,,0,0,0,0.0,0,0
12,2013,11,2013-11-24,24-113,BAL,,NYJ,W 19-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,4,7,1.75,0,1,1,6,6.00,0,0,0,0.0,0,0
13,2013,15,2013-12-22,24-141,BAL,,NWE,L 7-41,,1,4,25.00,2,0,1,0.0,0.50,-10.75,3,39,13.00,0,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
14,2014,6,2014-10-12,25-070,BAL,@,TAM,W 48-17,,0,0,,0,0,0,,,,4,-3,-0.75,0,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2015,1,2015-09-13,26-041,BUF,,IND,W 27-14,,14,19,73.68,195,1,0,123.8,10.26,11.32,9,41,4.56,0,,0,0,,0,0,0,0.0,0,0
16,2015,2,2015-09-20,26-048,BUF,,NWE,L 32-40,*,23,30,76.67,242,3,3,93.3,8.07,5.57,5,43,8.60,1,,0,0,,0,1,6,0.0,0,0
17,2015,3,2015-09-27,26-055,BUF,@,MIA,W 41-14,*,21,29,72.41,277,3,0,136.7,9.55,11.62,3,12,4.00,0,,0,0,,0,0,0,0.0,0,0
18,2015,4,2015-10-04,26-062,BUF,,NYG,L 10-24,*,28,42,66.67,274,1,1,82.8,6.52,5.93,6,15,2.50,0,,0,0,,0,0,0,0.0,0,0
19,2015,5,2015-10-11,26-069,BUF,@,TEN,W 14-13,*,10,17,58.82,109,1,0,97.4,6.41,7.59,8,76,9.50,1,,1,4,4.00,0,1,6,0.0,0,0
,,,19 Games,,,,,14-5-0,,115,172,66.86,1296,9,6,92.1,7.53,7.01,58,323,5.57,3,1,2,10,5.00,0,3,18,0.0,1,0
