
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,8,1987-11-08,25-084,KAN,,PIT,L 16-17,,0,0,,0,0,0,,,,0,0,,0
2,1987,9,1987-11-15,25-091,KAN,,NYJ,L 9-16,*,13,23,56.52,233,0,3,51.8,10.13,4.26,3,11,3.67,0
3,1987,10,1987-11-22,25-098,KAN,,GNB,L 3-23,*,13,32,40.63,107,0,1,36.8,3.34,1.94,5,21,4.20,0
4,1987,11,1987-11-26,25-102,KAN,@,DET,W 27-20,,0,0,,0,0,0,,,,0,0,,0
5,1987,12,1987-12-06,25-112,KAN,@,CIN,L 27-30,,0,0,,0,0,0,,,,0,0,,0
6,1987,13,1987-12-13,25-119,KAN,,RAI,W 16-10,,0,0,,0,0,0,,,,0,0,,0
7,1987,14,1987-12-19,25-125,KAN,@,DEN,L 17-20,,0,0,,0,0,0,,,,0,0,,0
8,1987,15,1987-12-27,25-133,KAN,,SEA,W 41-20,,0,0,,0,0,0,,,,1,1,1.00,0
,,,8 Games,,,,,3-5-0,,26,55,47.27,340,0,4,36.9,6.18,2.91,9,33,3.67,0
