
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
13,2001,14,2001-12-23,29-145,CAR,,STL,L 32-38,*,24,51,47.06,312,1,0,73.3,6.12,6.51,1,23,23.00,0,0,0
14,2001,15,2001-12-30,29-152,CAR,,ARI,L 7-30,*,36,63,57.14,223,1,1,63.1,3.54,3.14,5,19,3.80,0,0,0
15,2001,16,2002-01-06,29-159,CAR,,NWE,L 6-38,*,15,36,41.67,144,0,3,18.8,4.00,0.25,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
16,2002,2,2002-09-15,30-046,CAR,,DET,W 31-7,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
17,2002,6,2002-10-13,30-074,CAR,@,DAL,L 13-14,,7,12,58.33,114,0,0,90.3,9.50,9.50,2,-5,-2.50,0,0,0
18,2002,7,2002-10-20,30-081,CAR,@,ATL,L 0-30,*,3,8,37.50,26,0,0,46.9,3.25,3.25,2,15,7.50,0,0,0
19,2002,11,2002-11-24,30-116,CAR,,ATL,L 0-41,,3,8,37.50,26,0,2,7.3,3.25,-8.00,0,0,,0,0,0
20,2002,14,2002-12-15,30-137,CAR,@,PIT,L 14-30,,3,7,42.86,14,0,1,10.7,2.00,-4.43,1,-1,-1.00,0,0,0
21,2002,16,2002-12-29,30-151,CAR,@,NOR,W 10-6,,1,2,50.00,0,0,0,56.2,0.00,0.00,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
22,2005,6,2005-10-16,33-077,CAR,@,DET,W 21-20,,5,7,71.43,47,1,0,129.2,6.71,9.57,2,0,0.00,0,0,0
23,2005,7,2005-10-30,33-091,CAR,,MIN,W 38-13,,0,1,0.00,0,0,0,39.6,0.00,0.00,3,-4,-1.33,0,0,0
24,2005,16,2006-01-01,33-154,CAR,@,ATL,W 44-11,,2,5,40.00,17,0,0,49.6,3.40,3.40,3,-1,-0.33,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
25,2006,13,2006-12-10,34-132,CAR,,NYG,L 13-27,*,34,61,55.74,423,1,3,62.4,6.93,5.05,3,16,5.33,0,0,0
26,2006,14,2006-12-17,34-139,CAR,,PIT,L 3-37,*,18,28,64.29,170,0,1,66.1,6.07,4.46,0,0,,0,0,0
27,2006,15,2006-12-24,34-146,CAR,@,ATL,W 10-3,*,4,7,57.14,32,1,0,108.3,4.57,7.43,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
28,2007,15,2007-12-23,35-145,SFO,,TAM,W 21-19,,0,0,,0,0,0,,,,0,0,,0,0,0
29,2007,16,2007-12-30,35-152,SFO,@,CLE,L 7-20,*,13,22,59.09,104,1,0,86.2,4.73,5.64,0,0,,0,0,0
,,,29 Games,,,,,8-21-0,,386,709,54.44,3904,15,26,62.2,5.51,4.28,54,148,2.74,6,6,36
