
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1962,5,1962-10-06,23-341,NYT,,BOS,L 14-43,,10,15,66.67,90,0,0,82.6,6.00,6.00,5,34,6.80,0
2,1962,6,1962-10-14,23-349,NYT,@,HOU,L 17-56,,4,6,66.67,26,0,0,75.7,4.33,4.33,1,-1,-1.00,0
3,1962,8,1962-10-28,23-363,NYT,,SDG,W 23-3,,1,1,100.00,7,0,0,95.8,7.00,7.00,0,0,,0
,,,3 Games,,,,,1-2-0,,15,22,68.18,123,0,0,82.2,5.59,5.59,6,33,5.50,0
