
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1976,4,1976-10-03,23-072,SDG,@,DEN,L 0-26,,2,2,100.00,11,0,0,89.6,5.50,5.50,0,0,,0
2,1976,8,1976-10-31,23-100,SDG,@,PIT,L 0-23,,0,0,,0,0,0,,,,1,0,0.00,0
,,,2 Games,,,,,0-2-0,,2,2,100.00,11,0,0,89.6,5.50,5.50,1,0,0.00,0
