
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1970,2,1970-09-27,24-028,CLE,@,SFO,L 31-34,,1,3,33.33,23,0,1,22.2,7.67,-7.33
2,1970,3,1970-10-03,24-034,CLE,,PIT,W 15-7,*,1,16,6.25,44,0,2,0.0,2.75,-2.88
,,,2 Games,,,,,1-1-0,,2,19,10.53,67,0,3,2.2,3.53,-3.58
