
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,2006,10,2006-11-19,23-060,CIN,@,NOR,W 31-16,,,,
2,2006,11,2006-11-26,23-067,CIN,@,CLE,W 30-0,0,0,,0
3,2006,12,2006-11-30,23-071,CIN,,BAL,W 13-7,,,,
4,2006,13,2006-12-10,23-081,CIN,,OAK,W 27-10,0,0,,0
5,2006,14,2006-12-18,23-089,CIN,@,IND,L 16-34,1,8,8.00,0
6,2006,15,2006-12-24,23-095,CIN,@,DEN,L 23-24,0,0,,0
7,2006,16,2006-12-31,23-102,CIN,,PIT,L 17-23,0,0,,0
,,,7 Games,,,,,4-3-0,1,8,8.00,0
