
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,22-266,CIN,,SDG,L 9-10,*,3,5,60.00,9,1,0,104.2,1.80,5.80,4,8,2.00,0
2,1987,5,1987-10-18,22-280,CIN,,CLE,L 0-34,,0,3,0.00,0,0,0,39.6,0.00,0.00,2,10,5.00,0
,,,2 Games,,,,,0-2-0,,3,8,37.50,9,1,0,85.4,1.13,3.63,6,18,3.00,0
