
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2007,3,2007-09-23,23-186,CIN,@,SEA,L 21-24
2,2007,9,2007-11-11,23-235,CIN,@,BAL,W 21-7
,,,2 Games,,,,,1-1-0
