
27,1976,7,1976-10-24,28-290,DET,@,SEA,W 41-14,,1,3,33.33,2,0,0,42.4,0.67,0.67,0,0,,0,0,0
28,1976,14,1976-12-11,28-338,DET,,RAM,L 17-20,,9,13,69.23,137,1,3,89.7,10.54,1.69,3,13,4.33,1,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
29,1977,6,1977-10-23,29-288,DET,@,SFO,L 7-28,,4,17,23.53,55,0,1,16.1,3.24,0.59,0,0,,0,0,0
30,1977,7,1977-10-30,29-295,DET,@,DAL,L 0-37,,6,16,37.50,75,0,1,26.8,4.69,1.88,1,3,3.00,0,0,0
31,1977,10,1977-11-20,29-316,DET,,TAM,W 16-7,*,3,7,42.86,20,0,2,10.7,2.86,-10.00,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
32,1978,15,1978-12-09,30-335,DET,,MIN,W 45-14,,0,0,,0,0,0,,,,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
33,1979,1,1979-09-01,31-236,DET,@,TAM,L 16-31,*,8,15,53.33,61,1,0,85.7,4.07,5.40,0,0,,0,0,0
34,1979,14,1979-12-02,31-328,DET,@,PHI,L 7-44,,6,17,35.29,103,1,1,51.8,6.06,4.59,2,11,5.50,0,0,0
,,,34 Games,,,,,15-19-0,,225,513,43.86,2825,18,31,48.1,5.51,3.49,84,484,5.76,2,2,12
