
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1963,2,1963-09-22,22-295,NYG,@,PIT,L 0-31,,3,11,27.27,102,0,2,26.1,9.27,1.09,1,-2,-2.00,0
2,1963,6,1963-10-20,22-323,NYG,,DAL,W 37-21,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0
3,1963,7,1963-10-27,22-330,NYG,@,CLE,W 33-6,,1,2,50.00,6,0,0,56.2,3.00,3.00,0,0,,0
4,1963,8,1963-11-03,22-337,NYG,@,STL,W 38-21,,1,4,25.00,15,0,0,42.7,3.75,3.75,0,0,,0
5,1963,9,1963-11-10,22-344,NYG,,PHI,W 42-14,,5,11,45.45,67,1,1,57.8,6.09,3.82,2,5,2.50,0
6,1963,10,1963-11-17,22-351,NYG,,SFO,W 48-14,,4,6,66.67,81,1,0,149.3,13.50,16.83,0,0,,0
7,1963,11,1963-11-24,22-358,NYG,,STL,L 17-24,,0,0,,0,0,0,,,,1,7,7.00,0
8,1963,13,1963-12-08,23-007,NYG,,WAS,W 44-14,,2,5,40.00,35,1,0,104.2,7.00,11.00,1,10,10.00,0
,,,8 Games,,,,,6-2-0,,16,40,40.00,306,3,4,52.7,7.65,4.65,5,20,4.00,0
