
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2002,7,2002-10-27,27-145,CHI,@,MIN,L 7-25,,1,6,16.67,28,0,1,6.9,4.67,-2.83,2,19,9.50,0
2,2002,12,2002-12-01,27-180,CHI,@,GNB,L 20-30,,1,1,100.00,45,1,0,158.3,45.00,65.00,0,0,,0
3,2002,13,2002-12-09,27-188,CHI,@,MIA,L 9-27,,1,3,33.33,6,1,0,81.9,2.00,8.67,5,52,10.40,0
4,2002,14,2002-12-15,27-194,CHI,,NYJ,W 20-13,,0,0,,0,0,0,,,,1,2,2.00,0
5,2002,15,2002-12-22,27-201,CHI,@,CAR,L 14-24,,8,22,36.36,50,1,0,60.0,2.27,3.18,3,17,5.67,0
6,2002,16,2002-12-29,27-208,CHI,,TAM,L 0-15,*,7,19,36.84,78,0,4,10.3,4.11,-5.37,4,14,3.50,0
,,,6 Games,,,,,1-5-0,,18,51,35.29,207,3,5,28.4,4.06,0.82,15,104,6.93,0
