
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1989,13,1989-12-03,24-267,PIT,,HOU,L 16-23,,0,0,,0,0,0,,,,1,-1,-1.00,0
2,1989,14,1989-12-10,24-274,PIT,@,NYJ,W 13-0,,0,1,0.00,0,0,0,39.6,0.00,0.00,2,-1,-0.50,0
3,1989,15,1989-12-17,24-281,PIT,,NWE,W 28-10,,0,0,,0,0,0,,,,1,-1,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
4,1990,3,1990-09-23,25-196,PIT,@,RAI,L 3-20,,0,0,,0,0,0,,,,0,0,,0
5,1990,4,1990-09-30,25-203,PIT,,MIA,L 6-28,,5,7,71.43,76,0,0,106.8,10.86,10.86,2,2,1.00,0
6,1990,5,1990-10-07,25-210,PIT,,SDG,W 36-14,,7,11,63.64,68,0,0,80.9,6.18,6.18,1,-2,-2.00,0
7,1990,7,1990-10-21,25-224,PIT,@,SFO,L 7-27,,0,0,,0,0,0,,,,0,0,,0
8,1990,8,1990-10-29,25-232,PIT,,RAM,W 41-10,,0,0,,0,0,0,,,,0,0,,0
9,1990,15,1990-12-23,25-287,PIT,,CLE,W 35-0,,2,3,66.67,18,0,1,43.1,6.00,-9.00,1,10,10.00,0
,,,9 Games,,,,,5-4-0,,14,22,63.64,162,0,1,66.9,7.36,5.32,8,7,0.88,0
