
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
32,1985,6,1985-10-13,27-053,DAL,,PIT,W 27-13,,0,0,,0,0,0,,,,0,0,,0,,
33,1985,7,1985-10-20,27-060,DAL,@,PHI,L 14-16,*,15,25,60.00,172,1,2,60.7,6.88,4.08,2,24,12.00,0,0,0
34,1985,8,1985-10-27,27-067,DAL,,ATL,W 24-10,,0,0,,0,0,0,,,,0,0,,0,,
35,1985,9,1985-11-04,27-075,DAL,@,STL,L 10-21,,0,0,,0,0,0,,,,0,0,,0,,
36,1985,10,1985-11-10,27-081,DAL,@,WAS,W 13-7,,0,0,,0,0,0,,,,0,0,,0,,
37,1985,11,1985-11-17,27-088,DAL,,CHI,L 0-44,,6,22,27.27,60,0,3,0.0,2.73,-3.41,1,8,8.00,0,0,0
38,1985,12,1985-11-24,27-095,DAL,,PHI,W 34-17,,0,0,,0,0,0,,,,0,0,,0,,
39,1985,13,1985-11-28,27-099,DAL,,STL,W 35-17,,0,0,,0,0,0,,,,0,0,,0,,
40,1985,14,1985-12-08,27-109,DAL,@,CIN,L 24-50,,0,0,,0,0,0,,,,0,0,,0,,
41,1985,15,1985-12-15,27-116,DAL,,NYG,W 28-21,,3,5,60.00,84,1,0,143.7,16.80,20.80,1,6,6.00,0,0,0
42,1985,16,1985-12-22,27-123,DAL,@,SFO,L 16-31,*,28,49,57.14,389,1,2,72.6,7.94,6.51,1,2,2.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
43,1986,1,1986-09-07,28-017,IND,@,NWE,L 3-33,*,15,32,46.88,241,0,0,72.5,7.53,7.53,6,16,2.67,0,0,0
44,1986,2,1986-09-14,28-024,IND,@,MIA,L 10-30,*,13,20,65.00,188,0,1,74.6,9.40,7.15,2,3,1.50,0,0,0
45,1986,14,1986-12-07,28-108,IND,@,ATL,W 28-23,*,15,29,51.72,167,2,3,52.6,5.76,2.48,0,0,,0,0,0
46,1986,15,1986-12-14,28-115,IND,,BUF,W 24-14,*,23,33,69.70,318,2,0,120.5,9.64,10.85,1,1,1.00,1,1,6
47,1986,16,1986-12-21,28-122,IND,@,RAI,W 30-24,*,19,30,63.33,240,2,2,82.6,8.00,6.33,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
48,1987,2,1987-09-20,29-030,IND,,MIA,L 10-23,*,27,43,62.79,282,1,1,79.8,6.56,5.98,0,0,,0,0,0
49,1987,3,1987-10-04,29-044,IND,@,BUF,W 47-6,*,17,25,68.00,259,5,0,141.5,10.36,14.36,0,0,,0,0,0
50,1987,4,1987-10-11,29-051,IND,,NYJ,W 6-0,*,15,28,53.57,115,0,1,49.0,4.11,2.50,2,1,0.50,0,0,0
51,1987,9,1987-11-15,29-086,IND,@,MIA,W 40-21,*,22,37,59.46,218,1,0,85.2,5.89,6.43,1,2,2.00,0,0,0
