
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,2000,4,2000-09-24,22-270,DAL,,SFO,L 24-41,,3,5,60.00,53,1,0,135.8,10.60,14.60,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
2,2001,2,2001-09-23,23-268,DAL,,SDG,L 21-32,,0,0,,0,0,0,,,,1,0,0.00,0,0,0
3,2001,3,2001-09-30,23-275,DAL,@,PHI,L 18-40,,4,7,57.14,44,2,0,115.5,6.29,12.00,0,0,,0,0,0
4,2001,6,2001-10-28,23-303,DAL,,ARI,W 17-3,*,9,19,47.37,93,0,1,40.0,4.89,2.53,7,23,3.29,1,1,6
5,2001,7,2001-11-04,23-310,DAL,@,NYG,L 24-27,*,13,23,56.52,177,1,4,56.2,7.70,0.74,1,4,4.00,0,0,0
,,,5 Games,,,,,1-4-0,,29,54,53.70,367,4,5,61.3,6.80,4.11,9,27,3.00,1,1,6
