
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1998,14,1998-12-13,25-310,CIN,@,IND,L 26-39,,3,4,75.00,62,1,0,156.2,15.50,20.50,0,0,,0
2,1998,16,1998-12-27,25-324,CIN,,TAM,L 0-35,,7,17,41.18,102,0,2,21.8,6.00,0.71,1,-1,-1.00,0
,,,2 Games,,,,,0-2-0,,10,21,47.62,164,1,2,50.6,7.81,4.48,1,-1,-1.00,0
