
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1964,1,1964-09-13,21-201,PHI,,NYG,W 38-7,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,2,2.00,0,,0,0,,0,0,0,,0,0,0
2,1964,7,1964-10-25,21-243,PHI,@,PIT,W 34-10,,1,1,100.00,38,0,0,118.7,38.00,38.00,7,33,4.71,1,,0,0,,0,0,0,,0,1,6
3,1964,11,1964-11-22,21-271,PHI,,STL,L 13-38,,1,1,100.00,27,0,0,118.7,27.00,27.00,0,0,,0,,0,0,,0,0,0,,0,0,0
4,1964,13,1964-12-06,21-285,PHI,,DAL,W 24-14,*,10,20,50.00,134,2,1,84.2,6.70,6.45,8,99,12.38,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
5,1965,3,1965-10-03,22-220,PHI,,CLE,L 17-35,,2,5,40.00,53,0,1,40.0,10.60,1.60,1,12,12.00,0,,0,0,,0,0,0,,0,0,0
6,1965,6,1965-10-24,22-241,PHI,,PIT,L 14-20,,10,24,41.67,123,1,2,37.3,5.13,2.21,7,84,12.00,0,,0,0,,0,0,0,,0,0,0
7,1965,13,1965-12-12,22-290,PHI,@,PIT,W 47-13,,0,0,,0,0,0,,,,1,8,8.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
8,1966,5,1966-10-09,23-226,PHI,@,DAL,L 7-56,,0,0,,0,0,0,,,,1,7,7.00,0,,1,7,7.00,0,0,0,,0,0,0
9,1966,6,1966-10-16,23-233,PHI,@,PIT,W 31-14,,0,0,,0,0,0,,,,1,-1,-1.00,0,,0,0,,0,2,3,1.50,0,0,0
10,1966,7,1966-10-23,23-240,PHI,@,NYG,W 31-3,,,,,,,,,,,,,,,,,,,,1,0,0.00,0,,
11,1966,12,1966-12-04,23-282,PHI,,PIT,W 27-23,*,13,25,52.00,131,0,0,67.2,5.24,5.24,15,129,8.60,1,,0,0,,0,0,0,,0,1,6
12,1966,13,1966-12-11,23-289,PHI,,CLE,W 33-21,*,7,23,30.43,120,1,4,24.1,5.22,-1.74,7,40,5.71,1,,0,0,,0,0,0,,0,1,6
13,1966,14,1966-12-18,23-296,PHI,@,WAS,W 37-28,,1,3,33.33,11,0,0,45.1,3.67,3.67,1,20,20.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
14,1967,2,1967-09-24,24-211,CHI,@,GNB,L 10-13,,2,5,40.00,7,0,0,47.9,1.40,1.40,5,22,4.40,0,,0,0,,0,0,0,,0,0,0
15,1967,3,1967-10-01,24-218,CHI,@,MIN,W 17-7,*,7,9,77.78,42,0,0,86.1,4.67,4.67,9,21,2.33,0,,0,0,,0,0,0,,0,0,0
16,1967,4,1967-10-08,24-225,CHI,,BAL,L 3-24,*,4,9,44.44,57,0,3,25.9,6.33,-8.67,2,15,7.50,0,,0,0,,0,0,0,,0,0,0
17,1967,5,1967-10-15,24-232,CHI,,DET,W 14-3,*,3,4,75.00,37,0,1,63.5,9.25,-2.00,11,39,3.55,0,,0,0,,0,0,0,,0,0,0
18,1967,6,1967-10-22,24-239,CHI,@,CLE,L 0-24,*,12,19,63.16,141,0,1,63.7,7.42,5.05,7,3,0.43,0,,0,0,,0,0,0,,0,0,0
19,1967,7,1967-10-29,24-246,CHI,,RAM,L 17-28,*,8,28,28.57,116,1,3,16.7,4.14,0.04,11,77,7.00,1,,0,0,,0,0,0,,0,1,6
20,1967,8,1967-11-05,24-253,CHI,@,DET,W 27-13,*,7,17,41.18,75,0,1,30.3,4.41,1.76,3,-1,-0.33,1,,0,0,,0,0,0,,0,1,6
21,1967,9,1967-11-12,24-260,CHI,,NYG,W 34-7,*,6,8,75.00,42,0,0,86.5,5.25,5.25,2,19,9.50,0,,0,0,,0,0,0,,0,0,0
22,1967,10,1967-11-19,24-267,CHI,,STL,W 30-3,*,11,24,45.83,336,3,2,97.2,14.00,12.75,3,20,6.67,1,,0,0,,0,0,0,,0,1,6
23,1967,11,1967-11-26,24-274,CHI,,GNB,L 13-17,*,7,14,50.00,56,0,2,20.8,4.00,-2.43,4,24,6.00,0,,0,0,,0,0,0,,0,0,0
24,1967,12,1967-12-03,24-281,CHI,@,SFO,W 28-14,*,11,15,73.33,142,1,1,97.1,9.47,7.80,2,6,3.00,0,,0,0,,0,0,0,,0,0,0
25,1967,13,1967-12-10,24-288,CHI,,MIN,T 10-10,*,10,25,40.00,126,0,0,56.4,5.04,5.04,4,5,1.25,0,,0,0,,0,0,0,,0,0,0
26,1967,14,1967-12-17,24-295,CHI,@,ATL,W 23-14,*,4,9,44.44,83,1,0,114.6,9.22,11.44,4,29,7.25,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
27,1968,1,1968-09-15,25-203,CHI,,WAS,L 28-38,*,14,26,53.85,126,0,2,35.1,4.85,1.38,3,12,4.00,1,,0,0,,0,0,0,,0,1,6
28,1968,2,1968-09-22,25-210,CHI,@,DET,L 0-42,*,4,14,28.57,40,0,3,0.0,2.86,-6.79,0,0,,0,,0,0,,0,0,0,,0,0,0
29,1968,3,1968-09-29,25-217,CHI,@,MIN,W 27-17,*,9,12,75.00,103,1,0,128.1,8.58,10.25,4,25,6.25,0,,0,0,,0,0,0,,0,0,0
30,1968,11,1968-11-24,25-273,CHI,,DAL,L 3-34,*,17,27,62.96,106,0,1,55.5,3.93,2.26,4,13,3.25,0,,0,0,,0,0,0,,0,0,0
31,1968,12,1968-12-01,25-280,CHI,@,NOR,W 23-17,*,5,19,26.32,60,2,0,75.3,3.16,5.26,6,16,2.67,0,,0,0,,0,0,0,,0,0,0
32,1968,13,1968-12-08,25-287,CHI,@,RAM,W 17-16,*,12,19,63.16,109,0,1,56.7,5.74,3.37,7,28,4.00,1,,0,0,,0,0,0,,0,1,6
33,1968,14,1968-12-15,25-294,CHI,,GNB,L 27-28,*,10,26,38.46,171,2,2,55.1,6.58,4.65,4,10,2.50,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
34,1969,1,1969-09-21,26-208,CHI,@,GNB,L 0-17,*,13,26,50.00,123,0,2,31.4,4.73,1.27,5,10,2.00,0,,0,0,,0,0,0,,0,0,0
35,1969,2,1969-09-28,26-215,CHI,@,STL,L 17-20,*,27,41,65.85,268,2,1,90.3,6.54,6.41,5,20,4.00,0,,0,0,,0,0,0,,0,0,0
