
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1986,1,1986-09-07,23-074,STL,,RAM,L 10-16,0,0,,0
2,1986,2,1986-09-14,23-081,STL,@,ATL,L 13-33,0,0,,0
3,1986,3,1986-09-21,23-088,STL,@,BUF,L 10-17,0,0,,0
4,1986,4,1986-09-29,23-096,STL,,DAL,L 7-31,0,0,,0
5,1986,5,1986-10-05,23-102,STL,,NYG,L 6-13,0,0,,0
6,1986,6,1986-10-12,23-109,STL,@,TAM,W 30-19,0,0,,0
7,1986,7,1986-10-19,23-116,STL,@,WAS,L 21-28,0,0,,0
8,1986,8,1986-10-26,23-123,STL,@,DAL,L 6-37,1,0,0.00,0
9,1986,9,1986-11-02,23-130,STL,,PHI,W 13-10,0,0,,0
10,1986,10,1986-11-09,23-137,STL,@,SFO,L 17-43,0,0,,0
11,1986,11,1986-11-16,23-144,STL,,NOR,L 7-16,0,0,,0
12,1986,12,1986-11-23,23-151,STL,,KAN,W 23-14,0,0,,0
13,1986,13,1986-11-30,23-158,STL,,WAS,L 17-20,0,0,,0
14,1986,14,1986-12-07,23-165,STL,@,PHI,T 10-10,0,0,,0
15,1986,15,1986-12-14,23-172,STL,@,NYG,L 7-27,0,0,,0
16,1986,16,1986-12-21,23-179,STL,,TAM,W 21-17,0,0,,0
,,,16 Games,,,,,4-11-1,1,0,0.00,0
