
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1993,1,1993-09-05,21-203,NWE,@,BUF,L 14-38,*,14,30,46.67,148,2,1,69.9,4.93,4.77,3,6,2.00,0,,0,0,,0,0,0
2,1993,2,1993-09-12,21-210,NWE,,DET,L 16-19,*,28,49,57.14,239,1,1,68.3,4.88,4.37,3,10,3.33,0,,0,0,,0,0,0
3,1993,3,1993-09-19,21-217,NWE,,SEA,L 14-17,*,20,44,45.45,238,1,2,51.1,5.41,3.82,1,1,1.00,0,,0,0,,0,0,0
4,1993,4,1993-09-26,21-224,NWE,@,NYJ,L 7-45,*,19,42,45.24,195,0,2,39.3,4.64,2.50,0,0,,0,,0,0,,0,0,0
5,1993,5,1993-10-10,21-238,NWE,@,PHO,W 23-21,*,8,17,47.06,85,1,0,81.7,5.00,6.18,1,0,0.00,0,,0,0,,0,0,0
6,1993,9,1993-11-07,21-266,NWE,,BUF,L 10-13,,8,16,50.00,96,0,0,68.7,6.00,6.00,5,14,2.80,0,,0,0,,0,0,0
7,1993,10,1993-11-21,21-280,NWE,@,MIA,L 13-17,*,23,42,54.76,275,1,1,73.0,6.55,5.95,1,12,12.00,0,,0,0,,0,0,0
8,1993,11,1993-11-28,21-287,NWE,,NYJ,L 0-6,*,10,18,55.56,134,0,1,56.3,7.44,4.94,0,0,,0,,0,0,,0,0,0
9,1993,12,1993-12-05,21-294,NWE,@,PIT,L 14-17,*,18,48,37.50,296,1,5,26.4,6.17,1.90,5,-1,-0.20,0,,0,0,,0,0,0
10,1993,13,1993-12-12,21-301,NWE,,CIN,W 7-2,*,11,22,50.00,106,1,0,79.0,4.82,5.73,2,2,1.00,0,,0,0,,0,0,0
11,1993,14,1993-12-19,21-308,NWE,@,CLE,W 20-17,*,19,47,40.43,210,1,1,52.6,4.47,3.94,4,9,2.25,0,,0,0,,0,0,0
12,1993,15,1993-12-26,21-315,NWE,,IND,W 38-0,*,9,11,81.82,143,2,0,158.3,13.00,16.64,1,2,2.00,0,,0,0,,0,0,0
13,1993,16,1994-01-02,21-322,NWE,,MIA,W 33-27,*,27,43,62.79,329,4,1,107.6,7.65,8.47,6,27,4.50,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,1994,1,1994-09-04,22-202,NWE,@,MIA,L 35-39,*,32,51,62.75,421,4,2,98.6,8.25,8.06,0,0,,0,0,0,0,,0,0,0
15,1994,2,1994-09-11,22-209,NWE,,BUF,L 35-38,*,26,42,61.90,380,3,2,95.3,9.05,8.33,2,2,1.00,0,0,0,0,,0,0,0
16,1994,3,1994-09-18,22-216,NWE,@,CIN,W 31-28,*,30,50,60.00,365,1,2,72.5,7.30,5.90,5,-4,-0.80,0,0,0,0,,0,0,0
17,1994,4,1994-09-25,22-223,NWE,@,DET,W 23-17,*,21,33,63.64,251,1,0,96.9,7.61,8.21,5,2,0.40,0,0,0,0,,0,0,0
18,1994,5,1994-10-02,22-230,NWE,,GNB,W 17-16,*,29,53,54.72,334,2,1,78.7,6.30,6.21,2,9,4.50,0,0,0,0,,0,0,0
19,1994,6,1994-10-09,22-237,NWE,,RAI,L 17-21,*,23,55,41.82,321,2,3,50.6,5.84,4.11,4,9,2.25,0,0,0,0,,0,0,0
20,1994,7,1994-10-16,22-244,NWE,@,NYJ,L 17-24,*,22,41,53.66,242,1,1,69.4,5.90,5.29,3,6,2.00,0,0,0,0,,0,0,0
21,1994,8,1994-10-30,22-258,NWE,,MIA,L 3-23,*,16,33,48.48,125,0,3,20.4,3.79,-0.30,3,8,2.67,0,0,0,0,,0,0,0
22,1994,9,1994-11-06,22-265,NWE,@,CLE,L 6-13,*,20,43,46.51,166,0,4,18.2,3.86,-0.33,1,0,0.00,0,0,0,0,,0,0,0
23,1994,10,1994-11-13,22-272,NWE,,MIN,W 26-20,*,45,70,64.29,426,3,0,95.3,6.09,6.94,2,3,1.50,0,0,0,0,,0,0,0
24,1994,11,1994-11-20,22-279,NWE,,SDG,W 23-17,*,21,36,58.33,224,1,2,62.7,6.22,4.28,4,2,0.50,0,0,0,0,,0,0,0
25,1994,12,1994-11-27,22-286,NWE,@,IND,W 12-10,*,26,36,72.22,271,0,1,82.1,7.53,6.28,4,-4,-1.00,0,0,0,0,,0,0,0
26,1994,13,1994-12-04,22-293,NWE,,NYJ,W 24-13,*,19,34,55.88,199,1,1,70.6,5.85,5.12,3,3,1.00,0,0,0,0,,0,0,0
27,1994,14,1994-12-11,22-300,NWE,,IND,W 28-13,*,25,45,55.56,277,2,4,51.8,6.16,3.04,1,7,7.00,0,0,0,0,,0,0,0
28,1994,15,1994-12-18,22-307,NWE,@,BUF,W 41-17,*,22,31,70.97,276,3,0,130.6,8.90,10.84,1,0,0.00,0,0,0,0,,0,0,0
29,1994,16,1994-12-24,22-313,NWE,@,CHI,W 13-3,*,23,38,60.53,277,1,1,80.7,7.29,6.63,4,-3,-0.75,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
30,1995,1,1995-09-03,23-201,NWE,,CLE,W 17-14,*,30,47,63.83,302,0,0,82.0,6.43,6.43,2,0,0.00,0,0,0,0,,0,0,0
31,1995,2,1995-09-10,23-208,NWE,,MIA,L 3-20,*,25,51,49.02,267,0,2,48.4,5.24,3.47,1,-1,-1.00,0,0,0,0,,0,0,0
32,1995,3,1995-09-17,23-215,NWE,@,SFO,L 3-28,*,21,51,41.18,241,0,3,31.6,4.73,2.08,0,0,,0,0,0,0,,0,0,0
33,1995,5,1995-10-08,23-236,NWE,,DEN,L 3-37,*,24,56,42.86,248,0,0,56.2,4.43,4.43,1,15,15.00,0,0,0,0,,0,0,0
34,1995,6,1995-10-15,23-243,NWE,@,KAN,L 26-31,*,25,47,53.19,237,2,1,72.7,5.04,4.94,4,5,1.25,0,0,0,0,,0,0,0
35,1995,7,1995-10-23,23-251,NWE,,BUF,W 27-14,*,23,40,57.50,262,1,0,85.6,6.55,7.05,0,0,,0,0,0,0,,0,0,0
36,1995,8,1995-10-29,23-257,NWE,,CAR,L 17-20,*,22,44,50.00,228,0,0,65.3,5.18,5.18,2,10,5.00,0,0,0,0,,0,0,0
37,1995,9,1995-11-05,23-264,NWE,@,NYJ,W 20-7,*,13,27,48.15,173,0,0,68.9,6.41,6.41,1,-1,-1.00,0,0,0,0,,0,0,0
