
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
14,1960,14,1960-12-18,33-092,HOU,,BOS,W 37-21,*,8,21,38.10,127,0,3,19.4,6.05,-0.38,0,0,,0,,0,0,,0,4,4,100.0,3,3,100.0,0,13
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
15,1961,1,1961-09-09,33-357,HOU,,OAK,W 55-0,*,11,24,45.83,233,3,1,103.0,9.71,10.33,0,0,,0,,0,0,,0,6,6,100.0,2,2,100.0,0,12
16,1961,2,1961-09-24,34-007,HOU,@,SDG,L 24-34,*,15,29,51.72,131,0,4,24.4,4.52,-1.69,0,0,,0,,1,-16,-16.00,0,3,3,100.0,1,1,100.0,0,6
17,1961,3,1961-10-01,34-014,HOU,@,DTX,L 21-26,*,15,36,41.67,275,3,2,73.3,7.64,6.81,3,-4,-1.33,0,,0,0,,0,3,3,100.0,,,,0,3
18,1961,4,1961-10-08,34-021,HOU,,BUF,L 12-22,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,1,1,100.0,1,5,20.0,0,4
19,1961,5,1961-10-13,34-026,HOU,@,BOS,T 31-31,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,4,4,100.0,1,3,33.3,0,7
20,1961,6,1961-10-22,34-035,HOU,,DTX,W 38-7,,11,24,45.83,215,3,0,117.2,8.96,11.46,1,6,6.00,0,,0,0,,0,5,5,100.0,1,3,33.3,0,8
21,1961,7,1961-10-29,34-042,HOU,@,BUF,W 28-16,*,18,32,56.25,464,4,4,101.0,14.50,11.38,2,3,1.50,0,,0,0,,0,4,4,100.0,,2,0.0,0,4
22,1961,8,1961-11-05,34-049,HOU,@,DEN,W 55-14,*,17,35,48.57,263,3,1,90.5,7.51,7.94,0,0,,0,,0,0,,0,7,7,100.0,2,2,100.0,0,13
23,1961,9,1961-11-12,34-056,HOU,,BOS,W 27-15,*,9,25,36.00,134,1,2,34.4,5.36,2.56,0,0,,0,,0,0,,0,3,3,100.0,2,2,100.0,0,9
24,1961,10,1961-11-19,34-063,HOU,,NYT,W 49-13,*,20,32,62.50,418,7,1,132.8,13.06,16.03,0,0,,0,,0,0,,0,7,7,100.0,,1,0.0,0,7
25,1961,11,1961-11-26,34-070,HOU,,DEN,W 45-14,*,15,28,53.57,209,1,3,50.1,7.46,3.36,0,0,,0,,0,0,,0,6,6,100.0,1,1,100.0,0,9
26,1961,12,1961-12-03,34-077,HOU,,SDG,W 33-13,*,20,33,60.61,351,4,1,123.9,10.64,11.70,1,7,7.00,0,,0,0,,0,3,4,75.0,2,3,66.7,0,9
27,1961,13,1961-12-10,34-084,HOU,@,NYT,W 48-21,*,18,33,54.55,287,3,1,101.5,8.70,9.15,0,0,,0,,0,0,,0,6,6,100.0,2,3,66.7,0,12
28,1961,14,1961-12-17,34-091,HOU,@,OAK,W 47-16,*,18,31,58.06,350,4,2,110.2,11.29,10.97,0,0,,0,,0,0,,0,6,6,100.0,1,1,100.0,0,9
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
29,1962,1,1962-09-09,34-357,HOU,@,BUF,W 28-23,*,15,30,50.00,188,1,6,41.4,6.27,-2.07,0,0,,0,,0,0,,0,4,4,100.0,,3,0.0,0,4
30,1962,2,1962-09-16,34-364,HOU,@,BOS,L 21-34,*,20,36,55.56,386,3,4,81.2,10.72,7.39,1,-3,-3.00,0,,0,0,,0,3,3,100.0,,2,0.0,0,3
31,1962,3,1962-09-23,35-006,HOU,@,SDG,W 42-17,*,11,20,55.00,164,2,1,94.6,8.20,7.95,0,0,,0,,0,0,,0,6,6,100.0,,1,0.0,0,6
32,1962,4,1962-10-07,35-020,HOU,,BUF,W 17-14,*,8,27,29.63,182,2,3,40.3,6.74,3.22,0,0,,0,,0,0,,0,2,2,100.0,1,2,50.0,0,5
33,1962,5,1962-10-14,35-027,HOU,,NYT,W 56-17,*,13,24,54.17,190,6,1,102.4,7.92,11.04,0,0,,0,,0,0,,0,8,8,100.0,,1,0.0,0,8
34,1962,6,1962-10-21,35-034,HOU,@,DEN,L 10-20,*,24,46,52.17,201,0,0,63.8,4.37,4.37,0,0,,0,,0,0,,0,1,1,100.0,1,1,100.0,0,4
35,1962,7,1962-10-28,35-041,HOU,,DTX,L 7-31,*,8,18,44.44,104,0,6,23.6,5.78,-9.22,0,0,,0,,0,0,,0,1,1,100.0,,,,0,1
36,1962,8,1962-11-04,35-048,HOU,@,DTX,W 14-6,*,13,19,68.42,194,2,1,114.8,10.21,9.95,1,10,10.00,0,,0,0,,0,2,2,100.0,,2,0.0,0,2
37,1962,9,1962-11-11,35-055,HOU,@,OAK,W 28-20,*,17,43,39.53,211,1,4,24.5,4.91,1.19,0,0,,0,,0,0,,0,4,4,100.0,,1,0.0,0,4
38,1962,10,1962-11-18,35-062,HOU,,BOS,W 21-17,*,16,28,57.14,228,2,4,67.9,8.14,3.14,0,0,,0,,0,0,,0,3,3,100.0,,,,0,3
39,1962,11,1962-11-25,35-069,HOU,,SDG,W 33-27,*,5,18,27.78,76,1,2,23.6,4.22,0.33,1,-1,-1.00,0,,0,0,,0,2,2,100.0,3,5,60.0,0,11
40,1962,12,1962-12-02,35-076,HOU,,DEN,W 34-17,*,21,44,47.73,280,3,5,51.5,6.36,2.61,0,0,,0,,0,0,,0,4,4,100.0,2,2,100.0,0,10
41,1962,13,1962-12-09,35-083,HOU,,OAK,W 32-17,*,11,33,33.33,181,1,2,37.6,5.48,3.36,0,0,,0,,0,0,,0,3,3,100.0,3,4,75.0,0,12
42,1962,14,1962-12-15,35-089,HOU,@,NYT,W 44-10,*,15,32,46.88,225,3,3,62.6,7.03,4.69,0,0,,0,,0,0,,0,5,6,83.3,1,2,50.0,0,8
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
43,1963,1,1963-09-07,35-355,HOU,,OAK,L 13-24,*,7,24,29.17,90,0,5,3.1,3.75,-5.63,0,0,,0,,0,0,,0,1,1,100.0,2,4,50.0,0,7
44,1963,2,1963-09-14,35-362,HOU,,DEN,W 20-14,*,15,30,50.00,218,1,1,71.3,7.27,6.43,0,0,,0,,0,0,,0,2,2,100.0,2,6,33.3,0,8
45,1963,3,1963-09-22,36-005,HOU,@,NYJ,L 17-24,*,25,37,67.57,308,1,2,79.6,8.32,6.43,0,0,,0,,0,0,,0,2,2,100.0,1,2,50.0,0,5
46,1963,4,1963-09-28,36-011,HOU,@,BUF,W 31-20,*,18,25,72.00,242,3,1,125.3,9.68,10.28,1,-2,-2.00,0,,0,0,,0,4,4,100.0,1,1,100.0,0,7
47,1963,5,1963-10-06,36-019,HOU,@,KAN,L 7-28,*,20,39,51.28,249,1,4,40.4,6.38,2.28,0,0,,0,,0,0,,0,1,1,100.0,,1,0.0,0,1
48,1963,6,1963-10-13,36-026,HOU,@,DEN,W 33-24,*,21,43,48.84,279,3,0,93.1,6.49,7.88,0,0,,0,,0,0,,0,4,4,100.0,1,3,33.3,0,7
49,1963,7,1963-10-20,36-033,HOU,,BUF,W 28-14,*,12,31,38.71,233,3,0,97.9,7.52,9.45,0,0,,0,,0,0,,0,4,4,100.0,,,,0,4
50,1963,8,1963-10-27,36-040,HOU,,KAN,W 28-7,*,20,31,64.52,226,3,1,105.0,7.29,7.77,0,0,,0,,0,0,,0,4,4,100.0,,1,0.0,0,4
51,1963,9,1963-11-01,36-045,HOU,@,BOS,L 3-45,*,7,21,33.33,76,0,3,5.4,3.62,-2.81,0,0,,0,,0,0,,0,,,,1,1,100.0,0,3
52,1963,10,1963-11-10,36-054,HOU,,NYJ,W 31-27,*,19,32,59.38,205,1,0,88.7,6.41,7.03,3,3,1.00,0,,0,0,,0,4,4,100.0,1,2,50.0,0,7
53,1963,11,1963-12-01,36-075,HOU,@,SDG,L 0-27,*,9,26,34.62,110,0,2,16.5,4.23,0.77,0,0,,0,,0,0,,0,,,,,2,0.0,0,0
54,1963,12,1963-12-08,36-082,HOU,,BOS,L 28-46,*,14,20,70.00,178,2,2,91.2,8.90,6.40,0,0,,0,,0,0,,0,4,4,100.0,,,,0,4
55,1963,13,1963-12-15,36-089,HOU,,SDG,L 14-20,,17,32,53.13,247,1,2,62.9,7.72,5.53,0,0,,0,,0,0,,0,2,2,100.0,,1,0.0,0,2
56,1963,14,1963-12-22,36-096,HOU,@,OAK,L 49-52,*,20,32,62.50,342,5,2,112.2,10.69,11.00,0,0,,0,,0,0,,0,7,7,100.0,,,,0,7
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
57,1964,1,1964-09-12,36-361,HOU,@,SDG,L 21-27,*,28,48,58.33,254,2,0,86.6,5.29,6.13,0,0,,0,,0,-7,,0,3,3,100.0,,1,0.0,0,3
58,1964,2,1964-09-19,37-002,HOU,,OAK,W 42-28,*,10,22,45.45,191,1,3,51.7,8.68,3.45,0,0,,0,,0,0,,0,6,6,100.0,,,,0,6
59,1964,3,1964-09-27,37-010,HOU,@,DEN,W 38-17,*,19,35,54.29,285,2,0,100.3,8.14,9.29,3,-8,-2.67,0,,0,0,,0,5,5,100.0,1,1,100.0,0,8
60,1964,4,1964-10-04,37-017,HOU,@,KAN,L 7-28,*,16,42,38.10,175,1,5,19.5,4.17,-0.71,0,0,,0,,0,0,,0,1,1,100.0,,,,0,1
61,1964,5,1964-10-11,37-024,HOU,,BUF,L 17-48,*,7,18,38.89,55,1,2,26.2,3.06,-0.83,0,0,,0,,0,0,,0,2,2,100.0,1,2,50.0,0,5
62,1964,6,1964-10-17,37-030,HOU,@,NYJ,L 21-24,*,20,41,48.78,238,2,1,73.0,5.80,5.68,0,0,,0,,0,0,,0,3,3,100.0,,,,0,3
63,1964,7,1964-10-25,37-038,HOU,,SDG,L 17-20,*,22,37,59.46,312,1,2,73.3,8.43,6.54,0,0,,0,,0,0,,0,2,2,100.0,1,3,33.3,0,5
64,1964,8,1964-11-01,37-045,HOU,@,BUF,L 10-24,*,37,68,54.41,393,1,3,58.0,5.78,4.09,0,0,,0,,0,0,,0,1,1,100.0,1,4,25.0,0,4
65,1964,9,1964-11-06,37-050,HOU,@,BOS,L 24-25,*,20,44,45.45,328,2,1,76.7,7.45,7.34,0,0,,0,,0,0,,0,3,3,100.0,1,3,33.3,0,6
66,1964,10,1964-11-15,37-059,HOU,@,OAK,L 10-20,*,20,37,54.05,278,1,1,76.2,7.51,6.84,0,0,,0,,0,0,,0,1,1,100.0,1,4,25.0,0,4
67,1964,11,1964-11-22,37-066,HOU,,KAN,L 19-28,,16,28,57.14,179,1,3,48.7,6.39,2.29,0,0,,0,,0,0,,0,1,1,100.0,2,2,100.0,0,7
68,1964,12,1964-11-29,37-073,HOU,,BOS,L 17-34,*,16,28,57.14,233,1,3,56.7,8.32,4.21,0,0,,0,,0,0,,0,2,2,100.0,1,3,33.3,0,5
69,1964,13,1964-12-13,37-087,HOU,,NYJ,W 33-17,*,15,31,48.39,157,0,1,50.1,5.06,3.61,0,0,,0,,0,0,,0,3,4,75.0,2,3,66.7,0,9
70,1964,14,1964-12-20,37-094,HOU,,DEN,W 34-15,*,16,27,59.26,204,1,2,64.4,7.56,4.96,1,6,6.00,0,,0,0,,0,4,4,100.0,2,3,66.7,0,10
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
71,1965,1,1965-09-12,37-360,HOU,,NYJ,W 27-21,*,3,6,50.00,21,0,2,18.7,3.50,-11.50,1,-3,-3.00,0,,0,0,,0,3,3,100.0,2,2,100.0,0,9
72,1965,2,1965-09-19,38-002,HOU,,BOS,W 31-10,*,16,30,53.33,298,3,2,93.5,9.93,8.93,1,-2,-2.00,0,,0,0,,0,4,4,100.0,1,3,33.3,0,7
73,1965,3,1965-09-26,38-009,HOU,@,OAK,L 17-21,*,11,27,40.74,166,1,1,58.6,6.15,5.22,0,0,,0,,0,0,,0,2,2,100.0,1,2,50.0,0,5
74,1965,4,1965-10-03,38-016,HOU,@,SDG,L 14-31,*,10,24,41.67,68,0,0,49.3,2.83,2.83,0,0,,0,,0,0,,0,2,2,100.0,,,,0,2
75,1965,5,1965-10-17,38-030,HOU,@,DEN,L 17-28,*,19,54,35.19,287,0,5,15.0,5.31,1.15,0,0,,0,,0,0,,0,2,2,100.0,1,1,100.0,0,5
76,1965,6,1965-10-24,38-037,HOU,,KAN,W 38-36,,19,33,57.58,304,5,0,128.0,9.21,12.24,0,0,,0,,0,0,,0,,,,,1,0.0,0,0
77,1965,7,1965-10-31,38-044,HOU,@,BUF,W 19-17,*,13,35,37.14,158,1,1,49.5,4.51,3.80,2,-1,-0.50,0,,0,0,,0,,,,4,4,100.0,0,12
78,1965,8,1965-11-07,38-051,HOU,,OAK,L 21-33,*,27,60,45.00,308,2,3,51.2,5.13,3.55,0,0,,0,,0,0,,0,3,3,100.0,,,,0,3
79,1965,9,1965-11-14,38-058,HOU,,DEN,L 21-31,*,19,49,38.78,251,3,6,36.6,5.12,0.84,0,0,,0,,0,0,,0,3,3,100.0,,,,0,3
80,1965,10,1965-11-21,38-065,HOU,@,NYJ,L 14-41,*,14,31,45.16,137,0,3,18.5,4.42,0.06,0,0,,0,,0,0,,0,2,2,100.0,,1,0.0,0,2
81,1965,11,1965-11-28,38-072,HOU,@,KAN,L 21-52,*,3,8,37.50,33,0,1,10.9,4.13,-1.50,0,0,,0,,0,0,,0,3,3,100.0,,2,0.0,0,3
82,1965,12,1965-12-05,38-079,HOU,,BUF,L 18-29,*,10,24,41.67,209,1,1,69.6,8.71,7.67,0,0,,0,,0,0,,0,1,1,100.0,1,3,33.3,0,4
83,1965,13,1965-12-12,38-086,HOU,,SDG,L 26-37,,13,40,32.50,212,3,2,55.4,5.30,4.55,0,0,,0,,0,0,,0,3,3,100.0,1,2,50.0,0,6
84,1965,14,1965-12-18,38-092,HOU,@,BOS,L 14-42,*,9,21,42.86,90,1,3,31.9,4.29,-1.19,0,0,,0,,0,0,,0,,,,,,,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
85,1966,1,1966-09-03,38-351,HOU,,DEN,W 45-7,*,13,25,52.00,210,3,0,120.0,8.40,10.80,0,0,,0,,0,0,,0,6,6,100.0,1,5,20.0,0,9
86,1966,2,1966-09-10,38-358,HOU,,OAK,W 31-0,*,17,34,50.00,202,2,2,63.6,5.94,4.47,0,0,,0,,0,0,,0,4,4,100.0,1,2,50.0,0,7
87,1966,3,1966-09-18,39-001,HOU,@,NYJ,L 13-52,*,15,34,44.12,144,1,4,26.7,4.24,-0.47,0,0,,0,,0,0,,0,1,1,100.0,2,2,100.0,0,7
88,1966,4,1966-09-25,39-008,HOU,@,BUF,L 20-27,*,23,54,42.59,303,2,5,34.7,5.61,2.19,1,0,0.00,0,,0,0,,0,2,2,100.0,2,3,66.7,0,8
89,1966,5,1966-10-02,39-015,HOU,@,DEN,L 38-40,*,15,37,40.54,300,5,2,86.7,8.11,8.38,1,0,0.00,0,,0,0,,0,5,5,100.0,1,1,100.0,0,8
90,1966,6,1966-10-16,39-029,HOU,,NYJ,W 24-0,*,13,24,54.17,198,2,1,92.0,8.25,8.04,1,1,1.00,0,,0,0,,0,3,3,100.0,1,1,100.0,0,6
91,1966,7,1966-10-23,39-036,HOU,,MIA,L 13-20,*,14,34,41.18,201,1,4,31.2,5.91,1.21,0,0,,0,,0,0,,0,1,1,100.0,2,3,66.7,0,7
92,1966,8,1966-10-30,39-043,HOU,@,KAN,L 23-48,*,8,19,42.11,87,0,2,16.7,4.58,-0.16,0,0,,0,,0,0,,0,2,2,100.0,1,2,50.0,0,5
93,1966,9,1966-11-06,39-050,HOU,@,OAK,L 23-38,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,2,3,66.7,1,1,100.0,0,5
94,1966,10,1966-11-13,39-057,HOU,@,BOS,L 21-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,3,3,100.0,,2,0.0,0,3
95,1966,11,1966-11-20,39-064,HOU,,BUF,L 20-42,,4,10,40.00,119,1,1,78.7,11.90,9.40,0,0,,0,,0,0,,0,2,2,100.0,2,2,100.0,0,8
96,1966,12,1966-12-04,39-078,HOU,,SDG,L 22-28,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,2,2,100.0,2,5,40.0,0,8
97,1966,13,1966-12-11,39-085,HOU,,BOS,L 14-38,,,,,,,,,,,,,,,,,,,,2,2,100.0,,,,,
98,1966,14,1966-12-18,39-092,HOU,@,MIA,L 28-29,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,4,4,100.0,,1,0.0,0,4
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
99,1967,1,1967-09-10,39-358,OAK,,DEN,W 51-0,,3,7,42.86,111,1,0,129.5,15.86,18.71,0,0,,0,,0,0,,0,6,7,85.7,1,2,50.0,0,9
100,1967,2,1967-09-17,40-000,OAK,,BOS,W 35-7,,2,2,100.00,5,0,0,79.2,2.50,2.50,0,0,,0,,0,0,,0,5,5,100.0,,,,0,5
101,1967,3,1967-10-01,40-014,OAK,,KAN,W 23-21,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,2,2,100.0,3,5,60.0,0,11
102,1967,4,1967-10-07,40-020,OAK,@,NYJ,L 14-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,2,2,100.0,,1,0.0,0,2
103,1967,5,1967-10-15,40-028,OAK,@,BUF,W 24-20,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,3,3,100.0,1,3,33.3,0,6
104,1967,6,1967-10-22,40-035,OAK,@,BOS,W 48-14,,2,4,50.00,47,1,0,132.3,11.75,16.75,0,0,,0,,0,0,,0,6,6,100.0,2,2,100.0,0,12
105,1967,7,1967-10-29,40-042,OAK,,SDG,W 51-10,,1,5,20.00,14,1,1,39.6,2.80,-2.20,0,0,,0,,0,0,,0,7,7,100.0,,1,0.0,0,7
106,1967,8,1967-11-05,40-049,OAK,@,DEN,W 21-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,1,1,100.0,2,3,66.7,0,7
107,1967,9,1967-11-19,40-063,OAK,,MIA,W 31-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,4,4,100.0,1,1,100.0,0,7
108,1967,10,1967-11-23,40-067,OAK,@,KAN,W 44-22,,3,6,50.00,32,0,0,66.0,5.33,5.33,0,0,,0,,0,0,,0,5,5,100.0,3,3,100.0,0,14
109,1967,11,1967-12-03,40-077,OAK,@,SDG,W 41-21,,1,1,100.00,1,0,0,79.2,1.00,1.00,0,0,,0,,0,0,,0,5,5,100.0,2,2,100.0,0,11
110,1967,12,1967-12-10,40-084,OAK,@,HOU,W 19-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,1,1,100.0,4,5,80.0,0,13
111,1967,13,1967-12-17,40-091,OAK,,NYJ,W 38-29,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,5,5,100.0,1,1,100.0,0,8
112,1967,14,1967-12-24,40-098,OAK,,BUF,W 28-21,,3,13,23.08,75,0,2,11.5,5.77,-1.15,0,0,,0,,0,0,,0,4,4,100.0,,1,0.0,0,4
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
113,1968,1,1968-09-15,40-364,OAK,@,BUF,W 48-6,,1,2,50.00,34,0,0,95.8,17.00,17.00,0,0,,0,,0,0,,0,6,6,100.0,2,3,66.7,0,12
114,1968,2,1968-09-21,41-004,OAK,@,MIA,W 47-21,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,6,6,100.0,1,1,100.0,0,9
115,1968,3,1968-09-29,41-012,OAK,@,HOU,W 24-15,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,3,3,100.0,1,1,100.0,0,6
116,1968,4,1968-10-06,41-019,OAK,,BOS,W 41-10,,2,2,100.00,36,1,0,158.3,18.00,28.00,0,0,,0,,0,0,,0,5,5,100.0,2,2,100.0,0,11
117,1968,5,1968-10-13,41-026,OAK,,SDG,L 14-23,,,,,,,,,,,,,,,,,,,,2,2,100.0,,,,,
118,1968,6,1968-10-20,41-033,OAK,@,KAN,L 10-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,1,1,100.0,1,2,50.0,0,4
119,1968,7,1968-10-27,41-040,OAK,,CIN,W 31-10,,0,3,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,0,0,,0,4,4,100.0,1,4,25.0,0,7
120,1968,8,1968-11-03,41-047,OAK,,KAN,W 38-21,,11,14,78.57,129,0,1,75.3,9.21,6.00,0,0,,0,,0,0,,0,5,5,100.0,1,3,33.3,0,8
