
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1968,3,1968-09-29,24-163,WAS,@,NYG,L 21-48,,1,2,50.00,12,0,0,68.7,6.00,6.00,0,0,,0
2,1968,6,1968-10-20,24-184,WAS,@,STL,L 14-41,,3,6,50.00,65,0,1,49.3,10.83,3.33,0,0,,0
3,1968,8,1968-11-03,24-198,WAS,@,MIN,L 14-27,,3,5,60.00,56,1,0,138.3,11.20,15.20,2,-7,-3.50,0
4,1968,10,1968-11-17,24-212,WAS,,DAL,L 24-44,,2,4,50.00,27,0,0,71.9,6.75,6.75,1,7,7.00,0
5,1968,14,1968-12-15,24-240,WAS,,DET,W 14-3,,2,3,66.67,51,1,0,149.3,17.00,23.67,0,0,,0
,,,5 Games,,,,,1-4-0,,11,20,55.00,211,2,1,104.4,10.55,10.30,3,0,0.00,0
