
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2004,16,2005-01-02,25-130,GNB,@,CHI,W 31-14,,0,0,,0,0,0,,,,2,-2,-1.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
2,2007,2,2007-09-16,28-022,DET,,MIN,W 20-17,,13,24,54.17,148,1,2,52.1,6.17,3.25,2,-9,-4.50,0,0.0,0,0
3,2007,8,2007-11-04,28-071,DET,,DEN,W 44-7,,0,0,,0,0,0,,,,1,-1,-1.00,0,0.0,0,0
4,2007,12,2007-12-02,28-099,DET,@,MIN,L 10-42,,0,0,,0,0,0,,,,1,0,0.00,0,0.0,0,0
5,2007,14,2007-12-16,28-113,DET,@,SDG,L 14-51,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0.0,0,0
6,2007,15,2007-12-23,28-120,DET,,KAN,W 25-20,,0,0,,0,0,0,,,,0,0,,0,0.0,0,0
7,2007,16,2007-12-30,28-127,DET,@,GNB,L 13-34,,0,0,,0,0,0,,,,0,0,,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
8,2008,1,2008-09-07,29-013,SFO,,ARI,L 13-23,*,14,20,70.00,195,0,1,80.2,9.75,7.50,2,1,0.50,0,0.0,1,0
9,2008,2,2008-09-14,29-020,SFO,@,SEA,W 33-30,*,20,32,62.50,321,1,0,106.4,10.03,10.66,4,32,8.00,0,0.0,1,0
10,2008,3,2008-09-21,29-027,SFO,,DET,W 31-13,*,16,23,69.57,189,2,0,123.3,8.22,9.96,8,32,4.00,0,0.0,0,0
11,2008,4,2008-09-28,29-034,SFO,@,NOR,L 17-31,*,18,36,50.00,257,1,2,59.6,7.14,5.19,2,0,0.00,0,0.0,0,0
12,2008,5,2008-10-05,29-041,SFO,,NWE,L 21-30,*,14,29,48.28,130,3,3,55.9,4.48,1.90,6,23,3.83,0,0.0,0,0
13,2008,6,2008-10-12,29-048,SFO,,PHI,L 26-40,*,17,30,56.67,199,0,2,49.2,6.63,3.63,3,31,10.33,0,0.0,0,0
14,2008,7,2008-10-19,29-055,SFO,@,NYG,L 17-29,*,16,28,57.14,256,1,2,69.9,9.14,6.64,4,27,6.75,0,0.0,0,0
15,2008,8,2008-10-26,29-062,SFO,,SEA,L 13-34,*,13,21,61.90,131,0,1,59.8,6.24,4.10,0,0,,0,0.0,0,0
16,2008,10,2008-11-16,29-083,SFO,,STL,W 35-16,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
17,2009,7,2009-10-25,30-061,CIN,,CHI,W 45-10,,0,0,,0,0,0,,,,2,9,4.50,0,0.0,0,0
18,2009,13,2009-12-13,30-110,CIN,@,MIN,L 10-30,,1,3,33.33,9,0,0,42.4,3.00,3.00,0,0,,0,0.0,0,0
19,2009,16,2010-01-03,30-131,CIN,@,NYJ,L 0-37,,3,8,37.50,31,0,0,49.5,3.88,3.88,1,3,3.00,0,0.0,0,0
,,,19 Games,,,,,8-11-0,,145,257,56.42,1866,9,13,69.9,7.26,5.68,39,145,3.72,0,0.0,2,0
