
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1997,3,1997-09-14,24-358,SEA,@,IND,W 31-3,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
2,1997,15,1997-12-14,25-084,SEA,@,OAK,W 22-21,*,23,37,62.16,283,1,2,72.2,7.65,5.76,6,11,1.83,0,0,0,0,,0,,0,0,0.0,0,0
3,1997,16,1997-12-21,25-091,SEA,,SFO,W 38-9,,8,8,100.00,88,0,0,112.5,11.00,11.00,2,0,0.00,1,0,0,0,,0,,1,6,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
4,1998,5,1998-10-04,26-013,SEA,@,KAN,L 6-17,,3,12,25.00,42,0,1,6.9,3.50,-0.25,1,11,11.00,0,0,0,0,,0,,0,0,0.0,0,0
5,1998,12,1998-11-29,26-069,SEA,,TEN,W 20-18,*,24,39,61.54,298,2,1,91.6,7.64,7.51,3,5,1.67,0,0,0,0,,0,,0,0,0.0,0,0
6,1998,13,1998-12-06,26-076,SEA,@,NYJ,L 31-32,*,17,24,70.83,278,2,2,102.4,11.58,9.50,3,25,8.33,0,0,0,0,,0,,0,0,0.0,0,0
7,1998,14,1998-12-13,26-083,SEA,,SDG,W 38-17,*,16,31,51.61,140,1,3,35.1,4.52,0.81,6,4,0.67,1,0,0,0,,0,,1,6,0.0,0,0
8,1998,15,1998-12-20,26-090,SEA,,IND,W 27-23,*,16,29,55.17,177,1,0,85.0,6.10,6.79,5,17,3.40,0,0,0,0,,0,,0,0,0.0,0,0
9,1998,16,1998-12-27,26-097,SEA,@,DEN,L 21-28,*,22,37,59.46,242,1,1,76.6,6.54,5.86,2,5,2.50,0,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
10,1999,1,1999-09-12,26-356,SEA,,DET,L 20-28,*,20,30,66.67,202,2,0,107.9,6.73,8.07,1,7,7.00,0,0,0,0,,0,,0,0,0.0,0,0
11,1999,3,1999-09-26,27-005,SEA,@,PIT,W 29-10,*,18,29,62.07,265,0,0,91.9,9.14,9.14,3,-3,-1.00,0,0,0,0,,0,,0,0,0.0,0,0
12,1999,4,1999-10-03,27-012,SEA,,OAK,W 22-21,*,15,30,50.00,213,2,1,81.7,7.10,6.93,1,0,0.00,0,0,0,0,,0,,0,0,0.0,0,0
13,1999,5,1999-10-17,27-026,SEA,@,SDG,L 10-13,*,17,29,58.62,151,1,1,69.8,5.21,4.34,1,0,0.00,0,0,0,0,,0,,0,0,0.0,0,0
14,1999,6,1999-10-24,27-033,SEA,,BUF,W 26-16,*,17,30,56.67,276,2,0,109.9,9.20,10.53,6,4,0.67,0,0,0,0,,0,,0,0,0.0,0,0
