
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1984,5,1984-09-30,23-038,BUF,@,IND,L 17-31,*,15,35,42.86,204,1,3,35.9,5.83,2.54,2,7,3.50,1,1,6
2,1984,6,1984-10-07,23-045,BUF,,PHI,L 17-27,*,4,12,33.33,49,0,0,46.9,4.08,4.08,4,18,4.50,0,0,0
3,1984,14,1984-12-02,23-101,BUF,,IND,W 21-15,*,11,22,50.00,164,2,1,86.2,7.45,7.23,2,-7,-3.50,0,0,0
4,1984,15,1984-12-08,23-107,BUF,@,NYJ,L 17-21,*,14,34,41.18,162,0,2,31.7,4.76,2.12,1,4,4.00,0,0,0
5,1984,16,1984-12-16,23-115,BUF,@,CIN,L 21-52,*,30,47,63.83,250,1,2,66.8,5.32,3.83,0,0,,0,0,0
,,,5 Games,,,,,1-4-0,,74,150,49.33,829,4,8,52.9,5.53,3.66,9,22,2.44,1,1,6
