
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2001,7,2001-10-28,23-108,NYJ,@,CAR,W 13-12,0,,,,
2,2001,8,2001-11-04,23-115,NYJ,@,NOR,W 16-9,,,,,
3,2001,9,2001-11-11,23-122,NYJ,,KAN,W 27-7,,,,,
4,2001,10,2001-11-18,23-129,NYJ,@,MIA,W 24-0,,,,,
5,2001,11,2001-12-02,23-143,NYJ,,NWE,L 16-17,,,,,
6,2001,12,2001-12-09,23-150,NYJ,@,PIT,L 7-18,0,,,,
7,2001,13,2001-12-16,23-157,NYJ,,CIN,W 15-14,0,,,,
8,2001,14,2001-12-23,23-164,NYJ,@,IND,W 29-28,,,,,
9,2001,15,2001-12-30,23-171,NYJ,,BUF,L 9-14,,,,,
10,2001,16,2002-01-06,23-178,NYJ,@,OAK,W 24-22,0,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
11,2002,4,2002-09-29,24-079,NYJ,@,JAX,L 3-28,1,1,13,13.00,0
12,2002,5,2002-10-06,24-086,NYJ,,KAN,L 25-29,,,,,
,,,12 Games,,,,,7-5-0,1,1,13,13.00,0
