
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1984,6,1984-10-07,24-077,DET,,DEN,L 7-28,,6,21,28.57,71,0,3,1.6,3.38,-3.05,0,0,,0
2,1984,9,1984-10-28,24-098,DET,@,GNB,L 9-41,,4,12,33.33,30,0,2,2.8,2.50,-5.00,1,9,9.00,0
3,1984,13,1984-11-22,24-123,DET,,GNB,W 31-28,,1,1,100.00,48,0,0,118.7,48.00,48.00,0,0,,0
4,1984,15,1984-12-10,24-141,DET,,RAI,L 3-24,,3,9,33.33,44,0,1,10.6,4.89,-0.11,0,0,,0
,,,4 Games,,,,,1-3-0,,14,43,32.56,193,0,6,8.3,4.49,-1.79,1,9,9.00,0
