
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1966,1,1966-09-10,23-113,BOS,@,SDG,L 0-24,,1,2,50.00,11,0,0,66.7,5.50,5.50,1,12,12.00,0
2,1966,3,1966-09-25,23-128,BOS,,KAN,L 24-43,,1,1,100.00,6,0,0,91.7,6.00,6.00,0,0,,0
3,1966,6,1966-10-23,23-156,BOS,,SDG,W 35-17,,0,2,0.00,0,0,1,0.0,0.00,-22.50,0,0,,0
4,1966,11,1966-11-27,23-191,BOS,@,MIA,W 20-14,,0,0,,0,0,0,,,,1,13,13.00,0
5,1966,13,1966-12-11,23-205,BOS,@,HOU,W 38-14,,3,6,50.00,46,0,0,75.7,7.67,7.67,5,15,3.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
6,1967,2,1967-09-09,24-112,BOS,@,SDG,L 14-28,,2,3,66.67,21,0,0,86.8,7.00,7.00,2,5,2.50,0
7,1967,3,1967-09-17,24-120,BOS,@,OAK,L 7-35,,1,5,20.00,4,0,0,39.6,0.80,0.80,0,0,,0
8,1967,6,1967-10-15,24-148,BOS,,MIA,W 41-10,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
9,1968,2,1968-09-22,25-125,PHI,,NYG,L 25-34,*,3,9,33.33,45,1,2,48.1,5.00,-2.78,1,-2,-2.00,0
10,1968,8,1968-11-03,25-167,PHI,,STL,L 17-45,,4,6,66.67,65,0,0,102.8,10.83,10.83,1,11,11.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
11,1970,4,1970-10-11,27-144,KAN,,BOS,W 23-10,,0,2,0.00,0,0,1,0.0,0.00,-22.50,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
12,1971,14,1971-12-19,28-213,KAN,,BUF,W 22-9,,2,6,33.33,18,0,0,42.4,3.00,3.00,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
13,1972,5,1972-10-15,29-148,CHI,@,CLE,W 17-0,,0,0,,0,0,0,,,,1,-2,-2.00,0
14,1972,11,1972-11-26,29-190,CHI,,CIN,L 3-13,,2,5,40.00,14,0,0,47.9,2.80,2.80,0,0,,0
,,,14 Games,,,,,7-7-0,,19,48,39.58,230,1,5,22.4,4.79,0.52,12,52,4.33,0
