
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1965,4,1965-10-09,23-213,MIN,,NYG,W 40-14,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,1966,2,1966-09-18,24-192,MIN,,BAL,L 23-38,,0,0,,0,0,0,,,,1,5,5.00,0,,0,0,,0,0,0
3,1966,3,1966-09-25,24-199,MIN,@,DAL,L 17-28,,1,4,25.00,12,0,0,39.6,3.00,3.00,0,0,,0,,0,0,,0,0,0
4,1966,12,1966-12-04,24-269,MIN,,ATL,L 13-20,*,12,33,36.36,203,1,5,28.5,6.15,-0.06,2,7,3.50,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1967,2,1967-09-22,25-196,MIN,@,RAM,L 3-39,,2,3,66.67,22,0,0,88.2,7.33,7.33,0,0,,0,,0,0,,0,0,0
6,1967,11,1967-11-26,25-261,MIN,@,PIT,W 41-27,,1,4,25.00,21,0,0,49.0,5.25,5.25,0,0,,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
7,1968,4,1968-10-06,26-210,ATL,,GNB,L 7-38,,1,5,20.00,5,0,1,0.0,1.00,-8.00,0,0,,0,,0,0,,0,0,0
8,1968,5,1968-10-13,26-217,ATL,,NYG,W 24-21,,5,7,71.43,150,0,0,113.7,21.43,21.43,3,4,1.33,0,,0,0,,0,0,0
9,1968,6,1968-10-20,26-224,ATL,@,RAM,L 14-27,*,7,16,43.75,144,1,2,57.3,9.00,4.63,3,28,9.33,0,,0,0,,0,0,0
10,1968,7,1968-10-27,26-231,ATL,@,CLE,L 7-30,*,8,10,80.00,107,1,1,105.0,10.70,8.20,1,13,13.00,0,,0,0,,0,0,0
11,1968,8,1968-11-03,26-238,ATL,,PIT,L 21-41,*,15,26,57.69,282,3,4,94.2,10.85,6.23,2,2,1.00,0,,0,0,,0,0,0
12,1968,9,1968-11-10,26-245,ATL,,RAM,L 10-17,*,11,20,55.00,168,1,1,78.7,8.40,7.15,4,60,15.00,0,,0,0,,0,0,0
13,1968,10,1968-11-17,26-252,ATL,@,CHI,W 16-13,*,8,13,61.54,173,0,0,105.4,13.31,13.31,7,10,1.43,2,,0,0,,0,2,12
14,1968,11,1968-11-24,26-259,ATL,@,STL,L 12-17,*,9,19,47.37,194,1,1,79.7,10.21,8.89,1,3,3.00,0,,0,0,,0,0,0
15,1968,12,1968-12-01,26-266,ATL,@,BAL,L 0-44,,8,16,50.00,86,0,1,40.1,5.38,2.56,4,9,2.25,0,,0,0,,0,0,0
16,1968,13,1968-12-08,26-273,ATL,,DET,L 7-24,*,9,21,42.86,124,0,2,22.8,5.90,1.62,1,10,10.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,1969,1,1969-09-21,27-195,ATL,,SFO,W 24-12,*,7,12,58.33,102,2,1,91.0,8.50,8.08,4,48,12.00,0,,0,0,,0,0,0
18,1969,2,1969-09-28,27-202,ATL,@,RAM,L 7-17,*,7,14,50.00,96,1,0,96.1,6.86,8.29,4,9,2.25,0,,0,0,,0,0,0
19,1969,3,1969-10-05,27-209,ATL,,BAL,L 14-21,*,16,26,61.54,207,1,0,99.4,7.96,8.73,3,19,6.33,0,,0,0,,0,0,0
20,1969,11,1969-11-30,27-265,ATL,@,BAL,L 6-13,*,15,25,60.00,203,0,0,85.9,8.12,8.12,4,0,0.00,0,,0,0,,0,0,0
21,1969,12,1969-12-07,27-272,ATL,,NOR,W 45-17,*,10,18,55.56,211,3,0,136.8,11.72,15.06,1,6,6.00,0,,0,0,,0,0,0
22,1969,13,1969-12-14,27-279,ATL,@,PHI,W 27-3,*,10,16,62.50,198,3,0,145.3,12.38,16.13,0,0,,0,,0,0,,0,0,0
23,1969,14,1969-12-21,27-286,ATL,,MIN,W 10-3,*,6,13,46.15,70,0,1,30.9,5.38,1.92,4,-14,-3.50,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
24,1970,1,1970-09-20,28-194,ATL,@,NOR,W 14-3,*,11,20,55.00,133,1,1,71.5,6.65,5.40,2,16,8.00,0,,0,0,,0,0,0
25,1970,2,1970-09-27,28-201,ATL,@,GNB,L 24-27,*,28,44,63.64,302,2,3,70.5,6.86,4.70,0,0,,0,,0,0,,0,0,0
26,1970,3,1970-10-04,28-208,ATL,,SFO,W 21-20,*,17,32,53.13,217,3,0,105.9,6.78,8.66,1,0,0.00,0,,0,0,,0,0,0
27,1970,4,1970-10-11,28-215,ATL,@,DAL,L 0-13,*,9,17,52.94,44,0,0,58.7,2.59,2.59,0,0,,0,,0,0,,0,0,0
28,1970,5,1970-10-18,28-222,ATL,@,DEN,L 10-24,*,12,26,46.15,145,1,3,37.0,5.58,1.15,1,8,8.00,0,,0,0,,0,0,0
29,1970,6,1970-10-25,28-229,ATL,,NOR,W 32-14,*,16,22,72.73,147,1,1,86.7,6.68,5.55,3,9,3.00,0,,0,0,,0,0,0
30,1970,7,1970-11-01,28-236,ATL,,CHI,L 14-23,*,15,26,57.69,172,2,1,87.3,6.62,6.42,0,0,,0,,0,0,,0,0,0
