
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1984,1,1984-09-02,24-107,KAN,@,PIT,W 37-27,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-2,-2.00,0
2,1984,5,1984-09-30,24-135,KAN,,CLE,W 10-6,,0,0,,0,0,0,,,,0,0,,0
3,1984,10,1984-11-04,24-170,KAN,@,SEA,L 0-45,,7,16,43.75,64,0,1,29.2,4.00,1.19,0,0,,0
4,1984,16,1984-12-16,24-212,KAN,@,SDG,W 42-21,,0,0,,0,0,0,,,,0,0,,0
,,,4 Games,,,,,3-1-0,,7,17,41.18,64,0,1,27.6,3.76,1.12,1,-2,-2.00,0
