
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1974,6,1974-10-20,23-015,NOR,@,ATL,W 13-3,,1,7,14.29,20,0,0,39.6,2.86,2.86,1,-3,-3.00,0,0,0
2,1974,9,1974-11-10,23-036,NOR,,MIA,L 0-21,,2,8,25.00,22,0,0,39.6,2.75,2.75,2,24,12.00,0,0,0
3,1974,13,1974-12-08,23-064,NOR,,STL,W 14-0,*,7,17,41.18,93,0,0,59.2,5.47,5.47,7,11,1.57,0,0,0
4,1974,14,1974-12-15,23-071,NOR,@,SFO,L 21-35,*,10,23,43.48,107,0,0,57.7,4.65,4.65,2,3,1.50,1,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1975,5,1975-10-19,24-014,NOR,@,SFO,L 21-35,,3,4,75.00,18,1,0,122.9,4.50,9.50,1,-1,-1.00,0,0,0
6,1975,6,1975-10-26,24-021,NOR,@,RAM,L 14-38,,1,2,50.00,21,0,0,87.5,10.50,10.50,0,0,,0,0,0
7,1975,8,1975-11-09,24-035,NOR,@,OAK,L 10-48,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,3,3.00,0,0,0
8,1975,14,1975-12-21,24-077,NOR,,CHI,L 17-42,*,10,30,33.33,143,0,3,10.1,4.77,0.27,4,0,0.00,0,0,0
,,,8 Games,,,,,2-6-0,,34,92,36.96,424,1,3,42.1,4.61,3.36,18,37,2.06,1,1,6
