
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,25-238,MIN,,GNB,L 16-23,,1,3,33.33,2,0,0,42.4,0.67,0.67,1,-1,-1.00,0
2,1987,4,1987-10-11,25-245,MIN,@,CHI,L 7-27,,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0
,,,2 Games,,,,,0-2-0,,1,6,16.67,2,0,1,0.0,0.33,-7.17,1,-1,-1.00,0
