
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1976,1,1976-09-12,23-182,TAM,@,HOU,L 0-20,,1,5,20.00,15,0,0,39.6,3.00,3.00,1,5,5.00,0
2,1976,2,1976-09-19,23-189,TAM,,SDG,L 0-23,,0,3,0.00,0,0,1,0.0,0.00,-15.00,3,54,18.00,0
3,1976,4,1976-10-03,23-203,TAM,@,BAL,L 17-42,,1,5,20.00,12,0,1,0.0,2.40,-6.60,0,0,,0
4,1976,5,1976-10-10,23-210,TAM,@,CIN,L 0-21,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,3,3.00,0
5,1976,7,1976-10-24,23-224,TAM,,MIA,L 20-23,*,4,4,100.00,51,1,0,158.3,12.75,17.75,3,21,7.00,0
6,1976,9,1976-11-07,23-238,TAM,@,DEN,L 13-48,,0,5,0.00,0,0,1,0.0,0.00,-9.00,3,15,5.00,0
7,1976,10,1976-11-14,23-245,TAM,@,NYJ,L 0-34,,7,13,53.85,103,0,1,47.9,7.92,4.46,2,5,2.50,0
8,1976,11,1976-11-21,23-252,TAM,,CLE,L 7-24,,2,3,66.67,29,0,1,58.3,9.67,-5.33,0,0,,0
,,,8 Games,,,,,0-8-0,,15,39,38.46,210,1,5,25.5,5.38,0.13,13,103,7.92,0
