
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Pnt,Yds,Y/P,Blck
1,1976,9,1976-11-07,24-172,KAN,,PIT,L 0-45,,4,10,40.00,46,0,0,54.6,4.60,4.60,1,35,35.00,0
