
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1960,4,1960-10-08,22-219,BOS,@,LAC,W 35-0,,0,0,,0,0,0,,,,3,11,3.67,0,,0,0,,0
2,1960,6,1960-10-23,22-234,BOS,@,DEN,L 24-31,,0,0,,0,0,0,,,,0,0,,0,,2,24,12.00,0
3,1960,7,1960-10-28,22-239,BOS,,LAC,L 16-45,,3,7,42.86,44,0,0,64.0,6.29,6.29,2,-4,-2.00,0,,0,0,,0
,,,3 Games,,,,,1-2-0,,3,7,42.86,44,0,0,64.0,6.29,6.29,5,7,1.40,0,,2,24,12.00,0
