
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1961,1,1961-09-10,24-179,DTX,,SDG,L 10-26,,3,8,37.50,19,0,1,6.2,2.38,-3.25,1,5,5.00,0
2,1961,2,1961-09-24,24-193,DTX,@,OAK,W 42-35,*,1,3,33.33,47,1,0,121.5,15.67,22.33,0,0,,0
3,1961,5,1961-10-15,24-214,DTX,@,BUF,L 24-27,,1,2,50.00,7,0,0,58.3,3.50,3.50,0,0,,0
4,1961,6,1961-10-22,24-221,DTX,@,HOU,L 7-38,,7,18,38.89,102,0,0,58.1,5.67,5.67,1,9,9.00,0
5,1961,7,1961-10-29,24-228,DTX,,BOS,L 17-18,*,4,7,57.14,56,0,0,83.0,8.00,8.00,1,11,11.00,0
6,1961,10,1961-11-19,24-249,DTX,@,SDG,L 14-24,,1,2,50.00,18,0,0,81.2,9.00,9.00,1,-2,-2.00,0
7,1961,11,1961-11-26,24-256,DTX,,OAK,W 43-11,,5,15,33.33,81,0,1,24.6,5.40,2.40,1,19,19.00,0
8,1961,12,1961-12-03,24-263,DTX,@,NYT,L 7-28,,2,5,40.00,19,0,0,51.2,3.80,3.80,0,0,,0
9,1961,13,1961-12-10,24-270,DTX,,DEN,W 49-21,,1,7,14.29,12,0,1,0.0,1.71,-4.71,0,0,,0
,,,9 Games,,,,,3-6-0,,25,67,37.31,361,1,3,41.9,5.39,3.67,5,42,8.40,0
