
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1961,2,1961-09-17,26-122,OAK,@,SDG,L 0-44,,0,3,0.00,0,0,2,0.0,0.00,-30.00,0,0,,0,0,0
2,1961,3,1961-09-24,26-129,OAK,,DTX,L 35-42,,0,4,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
3,1961,6,1961-10-22,26-157,OAK,,SDG,L 10-41,,1,5,20.00,4,0,1,0.0,0.80,-8.20,1,-3,-3.00,0,0,0
4,1961,8,1961-11-05,26-171,OAK,@,BUF,W 31-22,,1,3,33.33,6,0,0,42.4,2.00,2.00,1,11,11.00,0,0,0
5,1961,9,1961-11-11,26-177,OAK,@,NYT,L 12-23,,2,5,40.00,50,1,0,116.7,10.00,14.00,0,0,,0,0,0
6,1961,10,1961-11-17,26-183,OAK,@,BOS,L 17-20,,0,0,,0,0,0,,,,1,1,1.00,0,0,0
7,1961,11,1961-11-26,26-192,OAK,@,DTX,L 11-43,,6,17,35.29,81,0,3,11.8,4.76,-3.18,2,8,4.00,1,1,6
8,1961,12,1961-12-03,26-199,OAK,,BUF,L 21-26,,1,1,100.00,15,1,0,158.3,15.00,35.00,0,0,,0,0,0
9,1961,13,1961-12-09,26-205,OAK,,BOS,L 21-35,,2,6,33.33,17,0,1,2.8,2.83,-4.67,1,11,11.00,0,0,0
,,,9 Games,,,,,1-8-0,,13,44,29.55,173,2,7,19.0,3.93,-2.32,6,28,4.67,1,1,6
