
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1960,1,1960-09-11,23-266,BUF,@,NYT,L 3-27,,3,13,23.08,15,0,1,7.5,1.15,-2.31,4,42,10.50,0
2,1960,2,1960-09-18,23-273,BUF,,DEN,L 21-27,,0,2,0.00,0,0,1,0.0,0.00,-22.50,1,2,2.00,0
3,1960,3,1960-09-23,23-278,BUF,@,BOS,W 13-0,*,0,0,,0,0,0,,,,4,21,5.25,0
4,1960,4,1960-10-02,23-287,BUF,,LAC,L 10-24,,4,10,40.00,60,0,1,20.8,6.00,1.50,6,35,5.83,0
,,,4 Games,,,,,1-3-0,,7,25,28.00,75,0,3,0.0,3.00,-2.40,15,100,6.67,0
