
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
30,1971,10,1971-11-21,25-106,MIN,@,NOR,W 23-10,*,14,25,56.00,146,0,1,56.4,5.84,4.04,5,6,1.20,1,1,6,5,191,38.20,0
31,1971,11,1971-11-28,25-113,MIN,,ATL,W 24-7,*,10,23,43.48,59,0,2,14.6,2.57,-1.35,4,9,2.25,0,0,0,6,218,36.33,0
32,1971,12,1971-12-05,25-120,MIN,@,SDG,L 14-30,*,8,20,40.00,122,0,1,40.0,6.10,3.85,0,0,,0,0,0,3,138,46.00,0
33,1971,13,1971-12-11,25-126,MIN,,DET,W 29-10,,0,0,,0,0,0,,,,0,0,,0,0,0,6,245,40.83,0
34,1971,14,1971-12-19,25-134,MIN,@,CHI,W 27-10,*,13,22,59.09,271,2,0,133.0,12.32,14.14,2,-1,-0.50,0,0,0,6,256,42.67,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
35,1972,2,1972-09-24,26-048,MIN,@,DET,W 34-10,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,0,,0
36,1972,8,1972-11-05,26-090,MIN,,NOR,W 37-6,,3,5,60.00,75,1,0,143.7,15.00,19.00,0,0,,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
37,1973,1,1973-09-16,27-040,ATL,@,NOR,W 62-7,,4,7,57.14,56,1,0,122.6,8.00,10.86,1,-5,-5.00,0,0,0,0,0,,0
38,1973,4,1973-10-07,27-061,ATL,,SFO,L 9-13,,13,28,46.43,131,0,0,60.3,4.68,4.68,1,7,7.00,0,0,0,0,0,,0
39,1973,5,1973-10-14,27-068,ATL,,CHI,W 46-6,*,11,13,84.62,181,2,0,158.3,13.92,17.00,1,5,5.00,0,0,0,0,0,,0
40,1973,6,1973-10-21,27-075,ATL,@,SDG,W 41-0,*,9,17,52.94,146,0,1,57.5,8.59,5.94,1,-1,-1.00,0,0,0,0,0,,0
41,1973,7,1973-10-28,27-082,ATL,@,SFO,W 17-3,*,11,13,84.62,236,2,1,126.3,18.15,17.77,3,5,1.67,0,0,0,0,0,,0
42,1973,8,1973-11-04,27-089,ATL,,RAM,W 15-13,*,19,31,61.29,222,0,1,69.6,7.16,5.71,5,18,3.60,0,0,0,0,0,,0
43,1973,9,1973-11-11,27-096,ATL,@,PHI,W 44-27,*,12,23,52.17,109,1,1,61.7,4.74,3.65,2,2,1.00,0,0,0,0,0,,0
44,1973,10,1973-11-19,27-104,ATL,,MIN,W 20-14,*,11,23,47.83,171,2,1,83.8,7.43,7.22,6,6,1.00,0,0,0,0,0,,0
45,1973,11,1973-11-25,27-110,ATL,@,NYJ,W 28-20,*,8,18,44.44,144,2,1,86.3,8.00,7.72,1,3,3.00,0,0,0,0,0,,0
46,1973,12,1973-12-02,27-117,ATL,,BUF,L 6-17,*,9,22,40.91,195,0,0,73.1,8.86,8.86,3,15,5.00,0,0,0,0,0,,0
47,1973,13,1973-12-09,27-124,ATL,,STL,L 10-32,*,3,16,18.75,27,0,2,0.0,1.69,-3.94,0,0,,0,0,0,0,0,,0
48,1973,14,1973-12-16,27-131,ATL,,NOR,W 14-10,*,10,19,52.63,168,0,0,82.8,8.84,8.84,5,12,2.40,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
49,1974,1,1974-09-15,28-039,ATL,,DAL,L 0-24,*,4,22,18.18,28,0,1,20.6,1.27,-0.77,2,11,5.50,0,0,0,0,0,,0
50,1974,2,1974-09-22,28-046,ATL,,SFO,L 10-16,*,10,23,43.48,99,0,3,16.7,4.30,-1.57,3,17,5.67,0,0,0,0,0,,0
51,1974,4,1974-10-06,28-060,ATL,@,NYG,W 14-7,*,10,17,58.82,142,1,3,65.9,8.35,1.59,1,-1,-1.00,0,0,0,0,0,,0
52,1974,5,1974-10-13,28-067,ATL,,CHI,W 13-10,*,10,18,55.56,121,0,2,36.8,6.72,1.72,2,9,4.50,1,1,6,0,0,,0
53,1974,6,1974-10-20,28-074,ATL,,NOR,L 3-13,,6,14,42.86,44,0,1,21.1,3.14,-0.07,1,17,17.00,0,0,0,0,0,,0
54,1974,7,1974-10-28,28-082,ATL,@,PIT,L 17-24,*,8,20,40.00,122,2,2,54.6,6.10,3.60,2,5,2.50,0,0,0,0,0,,0
