
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1966,7,1966-10-23,24-220,DEN,,KAN,L 10-56,*,17,31,54.84,204,1,4,46.4,6.58,1.42,1,-4,-4.00,0,0,0
2,1966,8,1966-10-30,24-227,DEN,@,SDG,L 17-24,*,6,13,46.15,71,0,0,63.3,5.46,5.46,3,5,1.67,1,1,6
3,1966,9,1966-11-06,24-234,DEN,@,BOS,W 17-10,*,12,19,63.16,155,2,1,101.9,8.16,7.89,3,0,0.00,0,0,0
4,1966,10,1966-11-20,24-248,DEN,,OAK,L 3-17,*,9,30,30.00,93,0,2,12.2,3.10,0.10,1,-7,-7.00,0,0,0
5,1966,11,1966-11-27,24-255,DEN,,SDG,W 20-17,*,12,25,48.00,173,0,1,54.2,6.92,5.12,3,3,1.00,0,0,0
6,1966,12,1966-12-04,24-262,DEN,,MIA,W 17-7,*,14,25,56.00,273,1,2,74.2,10.92,8.12,8,40,5.00,1,1,6
7,1966,13,1966-12-11,24-269,DEN,@,OAK,L 10-28,*,12,20,60.00,141,0,2,41.9,7.05,2.55,2,8,4.00,0,0,0
,,,7 Games,,,,,3-4-0,,82,163,50.31,1110,4,12,49.9,6.81,3.99,21,45,2.14,2,2,12
