
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-25,34-194,PHI,,CLE,L 24-41,*,16,30,53.33,251,2,3,64.0,8.37,5.20,1,0,0.00,0,0,0,,0
2,1960,2,1960-09-30,34-199,PHI,@,DAL,W 27-25,*,11,23,47.83,139,1,3,42.0,6.04,1.04,0,0,,0,3,152,50.67,0
3,1960,3,1960-10-09,34-208,PHI,,STL,W 31-27,*,17,23,73.91,199,3,1,121.2,8.65,9.30,2,-2,-1.00,0,3,140,46.67,0
4,1960,4,1960-10-16,34-215,PHI,,DET,W 28-10,*,9,19,47.37,193,2,2,79.4,10.16,7.53,0,0,,0,8,354,44.25,0
5,1960,5,1960-10-23,34-222,PHI,@,CLE,W 31-29,*,17,26,65.38,292,3,1,125.8,11.23,11.81,1,1,1.00,0,5,234,46.80,0
6,1960,6,1960-11-06,34-236,PHI,,PIT,W 34-7,*,19,30,63.33,295,3,0,129.2,9.83,11.83,1,1,1.00,0,3,124,41.33,0
7,1960,7,1960-11-13,34-243,PHI,,WAS,W 19-13,*,9,24,37.50,182,2,3,53.1,7.58,3.63,1,-1,-1.00,0,5,204,40.80,0
8,1960,8,1960-11-20,34-250,PHI,@,NYG,W 17-10,*,13,24,54.17,236,1,0,102.1,9.83,10.67,1,0,0.00,0,7,279,39.86,0
9,1960,9,1960-11-27,34-257,PHI,,NYG,W 31-23,*,13,23,56.52,147,3,3,75.8,6.39,3.13,1,1,1.00,0,6,272,45.33,0
10,1960,10,1960-12-04,34-264,PHI,@,STL,W 20-6,*,13,27,48.15,251,2,1,90.2,9.30,9.11,1,-3,-3.00,0,8,385,48.13,0
11,1960,11,1960-12-11,34-271,PHI,@,PIT,L 21-27,*,8,20,40.00,96,0,0,55.4,4.80,4.80,1,-1,-1.00,0,7,267,38.14,0
12,1960,12,1960-12-18,34-278,PHI,@,WAS,W 38-28,*,8,15,53.33,190,2,0,138.2,12.67,15.33,1,-9,-9.00,0,5,173,34.60,0
,,,12 Games,,,,,10-2-0,,153,284,53.87,2471,24,17,86.5,8.70,7.70,11,-13,-1.18,0,60,2584,43.07,0
