
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
12,1960,12,1960-12-04,31-019,NYT,@,DEN,W 30-27,*,12,23,52.17,204,3,3,82.5,8.87,5.61,10,49,4.90,0,0,0,0,0,,0
13,1960,13,1960-12-11,31-026,NYT,@,OAK,W 31-28,*,29,48,60.42,375,3,0,105.8,7.81,9.06,8,43,5.38,1,1,6,0,0,,0
14,1960,14,1960-12-18,31-033,NYT,@,LAC,L 43-50,*,12,28,42.86,200,3,3,63.7,7.14,4.46,7,13,1.86,1,1,6,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
15,1961,1,1961-09-09,31-298,NYT,@,BOS,W 21-20,*,15,26,57.69,183,2,1,89.1,7.04,6.85,5,27,5.40,1,1,6,0,0,,0
16,1961,2,1961-09-17,31-306,NYT,@,BUF,L 31-41,*,24,44,54.55,281,4,3,76.0,6.39,5.14,4,12,3.00,0,0,0,0,0,,0
17,1961,3,1961-09-24,31-313,NYT,,DEN,W 35-28,*,9,25,36.00,121,3,3,52.2,4.84,1.84,1,25,25.00,0,0,0,0,0,,0
18,1961,4,1961-10-01,31-320,NYT,,BOS,W 37-30,*,14,29,48.28,195,2,0,93.3,6.72,8.10,6,26,4.33,0,0,0,0,0,,0
19,1961,5,1961-10-15,31-334,NYT,,SDG,L 10-25,*,18,40,45.00,186,1,4,27.7,4.65,0.65,4,19,4.75,0,0,0,0,0,,0
20,1961,6,1961-10-22,31-341,NYT,@,DEN,L 10-27,*,14,36,38.89,226,1,3,35.2,6.28,3.08,1,6,6.00,0,0,0,0,0,,0
21,1961,7,1961-10-29,31-348,NYT,@,OAK,W 14-6,*,8,20,40.00,104,0,1,36.2,5.20,2.95,4,14,3.50,0,0,0,0,0,,0
22,1961,8,1961-11-05,31-355,NYT,@,SDG,L 13-48,*,12,24,50.00,127,0,3,26.2,5.29,-0.33,9,31,3.44,1,1,6,0,0,,0
23,1961,9,1961-11-11,31-361,NYT,,OAK,W 23-12,*,15,34,44.12,194,0,3,25.9,5.71,1.74,3,15,5.00,0,0,0,0,0,,0
24,1961,10,1961-11-19,32-004,NYT,@,HOU,L 13-49,*,21,47,44.68,278,2,3,51.6,5.91,3.89,2,3,1.50,0,0,0,0,0,,0
25,1961,11,1961-11-23,32-008,NYT,,BUF,W 21-14,*,13,28,46.43,223,1,0,85.9,7.96,8.68,4,25,6.25,1,1,6,0,0,,0
26,1961,12,1961-12-03,32-018,NYT,,DTX,W 28-7,*,17,33,51.52,272,1,1,76.8,8.24,7.48,3,46,15.33,1,1,6,0,0,,0
27,1961,13,1961-12-10,32-025,NYT,,HOU,L 21-48,*,9,28,32.14,171,2,2,48.4,6.11,4.32,2,19,9.50,0,0,0,0,0,,0
28,1961,14,1961-12-17,32-032,NYT,@,DTX,L 24-35,*,8,24,33.33,90,0,3,5.9,3.75,-1.88,6,49,8.17,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
29,1962,1,1962-09-09,32-298,BUF,,HOU,L 23-28,*,4,17,23.53,44,0,3,0.0,2.59,-5.35,2,6,3.00,0,0,0,0,0,,0
30,1962,2,1962-09-15,32-304,BUF,,DEN,L 20-23,*,16,34,47.06,193,2,2,60.0,5.68,4.21,9,40,4.44,0,0,0,0,0,,0
31,1962,3,1962-09-22,32-311,BUF,,NYT,L 6-17,*,6,11,54.55,69,0,1,35.8,6.27,2.18,2,-2,-1.00,0,0,0,0,0,,0
32,1962,4,1962-09-30,32-319,BUF,@,DTX,L 21-41,*,4,13,30.77,27,0,1,8.2,2.08,-1.38,2,13,6.50,0,0,0,0,0,,0
,,,32 Games,,,,,14-18-0,,428,909,47.08,5732,47,63,56.0,6.31,4.22,159,827,5.20,11,11,66,6,264,44.00,0
