
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1973,6,1973-10-21,24-202,NOR,@,SFO,L 0-40,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,0,,0
2,1973,12,1973-12-02,24-244,NOR,@,GNB,L 10-30,,4,12,33.33,37,0,1,8.0,3.08,-0.67,0,0,,0,0,0,0,0,,0
3,1973,13,1973-12-09,24-251,NOR,,SFO,W 16-10,,8,19,42.11,118,0,0,63.0,6.21,6.21,6,11,1.83,0,0,0,0,0,,0
4,1973,14,1973-12-16,24-258,NOR,@,ATL,L 10-14,*,6,21,28.57,90,1,2,21.2,4.29,0.95,3,7,2.33,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
5,1974,5,1974-10-13,25-194,NOR,@,DEN,L 17-33,,5,9,55.56,42,0,1,28.2,4.67,-0.33,0,0,,0,0,0,0,0,,0
6,1974,6,1974-10-20,25-201,NOR,@,ATL,W 13-3,*,6,16,37.50,78,1,1,48.4,4.88,3.31,1,1,1.00,0,0,0,0,0,,0
7,1974,11,1974-11-25,25-237,NOR,,PIT,L 7-28,,8,22,36.36,108,1,0,68.0,4.91,5.82,0,0,,0,0,0,0,0,,0
8,1974,12,1974-12-01,25-243,NOR,@,MIN,L 9-29,,1,3,33.33,10,0,0,43.7,3.33,3.33,0,0,,0,0,0,0,0,,0
9,1974,14,1974-12-15,25-257,NOR,@,SFO,L 21-35,,11,21,52.38,128,2,2,63.3,6.10,3.71,0,0,,0,0,0,0,0,,0
