
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,23-301,ATL,,PIT,L 12-28,,13,21,61.90,113,1,1,72.1,5.38,4.19,1,6,6.00,0
2,1987,4,1987-10-11,23-308,ATL,,SFO,L 17-25,*,5,13,38.46,61,0,1,21.6,4.69,1.23,0,0,,0
,,,2 Games,,,,,0-2-0,,18,34,52.94,174,1,2,52.8,5.12,3.06,1,6,6.00,0
