
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2008,3,2008-09-21,23-119,NWE,,MIA,L 13-38,,3,4,75.00,25,0,0,90.6,6.25,6.25,0,0,,0
2,2008,15,2008-12-21,23-210,NWE,,ARI,W 47-7,,1,2,50.00,-2,0,0,56.2,-1.00,-1.00,3,-6,-2.00,0
,,,2 Games,,,,,1-1-0,,4,6,66.67,23,0,0,73.6,3.83,3.83,3,-6,-2.00,0
