
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Pnt,Yds,Y/P,Blck
1,1968,2,1968-09-22,23-020,DEN,@,KAN,L 2-34,,1,5,20.00,16,0,0,40.4,3.20,3.20,1,-1,-1.00,0,0,0,,0
2,1968,11,1968-11-24,23-083,DEN,,BUF,W 34-32,,0,0,,0,0,0,,,,0,0,,0,8,242,30.25,1
3,1968,14,1968-12-14,23-103,DEN,,KAN,L 7-30,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,,1,6,16.67,16,0,0,39.6,2.67,2.67,1,-1,-1.00,0,8,242,30.25,1
