
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,2004,12,2004-12-05,24-087,ARI,@,DET,L 12-26,*,18,40,45.00,168,1,4,25.8,4.20,0.20
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
2,2005,4,2005-10-02,25-023,ARI,,SFO,W 31-14,,0,0,,0,0,0,,,
3,2005,14,2005-12-18,25-100,ARI,@,HOU,L 19-30,,14,24,58.33,174,1,1,77.4,7.25,6.21
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
4,2006,9,2006-11-12,26-064,ARI,,DAL,L 10-27,,0,0,,0,0,0,,,
,,,4 Games,,,,,1-3-0,,32,64,50.00,342,2,5,43.9,5.34,2.45
