
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1994,16,1994-12-24,24-075,NYJ,@,HOU,L 10-24,,5,8,62.50,45,0,1,38.0,5.63,0.00,0,0,,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
2,1995,10,1995-11-05,25-026,NYJ,,NWE,L 7-20,,16,29,55.17,128,0,1,52.1,4.41,2.86,1,9,9.00,0,1,1,-9,-9.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
3,1996,7,1996-10-13,26-003,NYJ,@,JAX,L 17-21,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,,0
4,1996,13,1996-12-01,26-052,NYJ,,HOU,L 10-35,,6,12,50.00,36,0,1,21.5,3.00,-0.75,0,0,,0,0,0,0,,0
5,1996,14,1996-12-08,26-059,NYJ,@,NWE,L 10-34,*,22,45,48.89,227,1,2,52.7,5.04,3.49,1,11,11.00,0,0,0,0,,0
6,1996,15,1996-12-14,26-065,NYJ,,PHI,L 20-21,*,16,26,61.54,186,1,4,56.4,7.15,1.00,5,25,5.00,0,0,0,0,,0
7,1996,16,1996-12-22,26-073,NYJ,,MIA,L 28-31,*,10,26,38.46,110,1,0,64.6,4.23,5.00,1,4,4.00,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
8,1997,1,1997-08-31,26-325,NYJ,@,SEA,W 41-3,,0,0,,0,0,0,,,,0,0,,0,,,,,
9,1997,7,1997-10-12,27-002,NYJ,,MIA,L 20-31,,0,0,,0,0,0,,,,0,0,,0,,,,,
