
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2003,2,2003-09-14,23-243,JAX,,BUF,L 17-38,,7,8,87.50,92,1,0,154.2,11.50,14.00,0,0,,0,0,0,0,,0,0,0
2,2003,3,2003-09-21,23-250,JAX,@,IND,L 13-23,,4,5,80.00,32,1,0,132.9,6.40,10.40,0,0,,0,0,0,0,,0,0,0
3,2003,4,2003-09-28,23-257,JAX,@,HOU,L 20-24,*,17,36,47.22,231,1,3,42.7,6.42,3.22,2,11,5.50,0,0,0,0,,0,0,0
4,2003,5,2003-10-05,23-264,JAX,,SDG,W 27-21,*,19,28,67.86,336,2,0,132.4,12.00,13.43,2,-1,-0.50,0,0,0,0,,0,0,0
5,2003,6,2003-10-12,23-271,JAX,,MIA,L 10-24,*,24,42,57.14,256,0,3,45.3,6.10,2.88,5,24,4.80,1,0,0,0,,0,1,6
6,2003,7,2003-10-26,23-285,JAX,,TEN,L 17-30,*,15,27,55.56,158,1,2,54.2,5.85,3.26,0,0,,0,0,0,0,,0,0,0
7,2003,8,2003-11-02,23-292,JAX,@,BAL,L 17-24,*,22,34,64.71,208,1,1,79.0,6.12,5.38,0,0,,0,0,0,0,,0,0,0
8,2003,9,2003-11-09,23-299,JAX,,IND,W 28-23,*,12,22,54.55,179,1,0,96.6,8.14,9.05,3,6,2.00,1,0,0,0,,0,1,6
9,2003,10,2003-11-16,23-306,JAX,@,TEN,L 3-10,*,15,31,48.39,151,0,2,35.8,4.87,1.97,1,1,1.00,0,0,0,0,,0,0,0
10,2003,11,2003-11-23,23-313,JAX,@,NYJ,L 10-13,*,17,33,51.52,172,0,1,54.1,5.21,3.85,0,0,,0,0,0,0,,0,0,0
11,2003,12,2003-11-30,23-320,JAX,,TAM,W 17-10,*,20,34,58.82,224,2,0,98.2,6.59,7.76,3,3,1.00,0,0,0,0,,0,0,0
12,2003,13,2003-12-07,23-327,JAX,,HOU,W 27-0,*,18,29,62.07,194,1,0,93.2,6.69,7.38,1,-2,-2.00,0,0,0,0,,0,0,0
13,2003,14,2003-12-14,23-334,JAX,@,NWE,L 13-27,*,21,40,52.50,288,1,2,63.3,7.20,5.45,3,10,3.33,0,0,0,0,,0,0,0
14,2003,15,2003-12-21,23-341,JAX,,NOR,W 20-19,*,9,17,52.94,131,1,2,58.3,7.71,3.59,2,23,11.50,0,0,0,0,,0,0,0
15,2003,16,2003-12-28,23-348,JAX,@,ATL,L 14-21,*,19,32,59.38,167,1,0,83.7,5.22,5.84,3,33,11.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
16,2004,1,2004-09-12,24-242,JAX,@,BUF,W 13-10,*,18,36,50.00,147,1,2,46.9,4.08,2.14,2,11,5.50,0,0,0,0,,0,0,0
17,2004,2,2004-09-19,24-249,JAX,,DEN,W 7-6,*,8,16,50.00,120,1,0,95.8,7.50,8.75,2,8,4.00,0,0,0,0,,0,0,0
18,2004,3,2004-09-26,24-256,JAX,@,TEN,W 15-12,*,14,20,70.00,124,1,0,102.9,6.20,7.20,3,5,1.67,0,0,0,0,,0,0,0
19,2004,4,2004-10-03,24-263,JAX,,IND,L 17-24,*,29,41,70.73,318,1,0,101.5,7.76,8.24,0,0,,0,0,0,0,,0,0,0
20,2004,5,2004-10-10,24-270,JAX,@,SDG,L 21-34,*,36,54,66.67,357,1,2,75.9,6.61,5.31,3,10,3.33,1,0,0,0,,0,1,6
21,2004,6,2004-10-17,24-277,JAX,,KAN,W 22-16,*,24,36,66.67,298,2,0,110.6,8.28,9.39,3,25,8.33,1,0,0,0,,0,1,6
22,2004,7,2004-10-24,24-284,JAX,@,IND,W 27-24,*,23,30,76.67,300,2,1,116.0,10.00,9.83,2,3,1.50,0,0,0,0,,0,0,0
23,2004,8,2004-10-31,24-291,JAX,@,HOU,L 6-20,*,25,40,62.50,227,0,2,57.0,5.68,3.43,2,5,2.50,0,0,0,0,,0,0,0
24,2004,11,2004-11-28,24-319,JAX,@,MIN,L 16-27,*,19,34,55.88,235,1,0,87.3,6.91,7.50,0,0,,0,0,0,0,,0,0,0
25,2004,12,2004-12-05,24-326,JAX,,PIT,L 16-17,*,16,27,59.26,268,1,0,105.2,9.93,10.67,1,4,4.00,0,0,0,0,,0,0,0
26,2004,13,2004-12-12,24-333,JAX,,CHI,W 22-3,*,25,45,55.56,242,2,1,76.3,5.38,5.27,4,8,2.00,0,0,0,0,,0,0,0
27,2004,14,2004-12-19,24-340,JAX,@,GNB,W 28-25,*,9,20,45.00,121,2,0,98.1,6.05,8.05,3,9,3.00,0,0,0,0,,0,0,0
28,2004,15,2004-12-26,24-347,JAX,,HOU,L 0-21,*,6,14,42.86,35,0,1,20.5,2.50,-0.71,4,19,4.75,0,0,0,0,,0,0,0
29,2004,16,2005-01-02,24-354,JAX,@,OAK,W 13-6,*,15,28,53.57,149,0,1,54.0,5.32,3.71,10,41,4.10,0,1,1,-7,-7.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
30,2005,1,2005-09-11,25-240,JAX,,SEA,W 26-14,*,17,31,54.84,252,2,0,103.2,8.13,9.42,4,9,2.25,0,0,0,0,,0,0,0
31,2005,2,2005-09-18,25-247,JAX,@,IND,L 3-10,*,16,29,55.17,198,0,0,76.5,6.83,6.83,3,11,3.67,0,0,0,0,,0,0,0
32,2005,3,2005-09-25,25-254,JAX,@,NYJ,W 26-20,*,16,23,69.57,177,2,1,103.0,7.70,7.48,2,12,6.00,0,0,0,0,,0,0,0
33,2005,4,2005-10-02,25-261,JAX,,DEN,L 7-20,*,20,34,58.82,240,1,2,65.8,7.06,5.00,1,3,3.00,0,0,0,0,,0,0,0
34,2005,5,2005-10-09,25-268,JAX,,CIN,W 23-20,*,10,24,41.67,161,2,0,92.5,6.71,8.38,5,0,0.00,0,0,0,0,,0,0,0
35,2005,6,2005-10-16,25-275,JAX,@,PIT,W 23-17,*,19,35,54.29,177,1,1,66.0,5.06,4.34,1,1,1.00,0,0,0,0,,0,0,0
36,2005,7,2005-10-30,25-289,JAX,@,STL,L 21-24,*,18,31,58.06,213,2,1,87.2,6.87,6.71,1,9,9.00,0,0,0,0,,0,0,0
37,2005,8,2005-11-06,25-296,JAX,,HOU,W 21-14,*,19,25,76.00,218,1,0,115.1,8.72,9.52,4,10,2.50,1,0,0,0,,0,1,6
