
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,25-092,BUF,,IND,L 6-47,,4,12,33.33,71,1,0,82.3,5.92,7.58,5,2,0.40,0
2,1987,4,1987-10-11,25-099,BUF,@,NWE,L 7-14,*,9,21,42.86,84,1,2,30.8,4.00,0.67,7,9,1.29,0
,,,2 Games,,,,,0-2-0,,13,33,39.39,155,2,2,49.4,4.70,3.18,12,11,0.92,0
