
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1994,7,1994-10-16,23-205,ATL,,SFO,L 3-42,,0,0,,0,0,0,,,
2,1994,15,1994-12-18,23-268,ATL,@,GNB,L 17-21,,0,1,0.00,0,0,0,39.6,0.00,0.00
,,,2 Games,,,,,0-2-0,,0,1,0.00,0,0,0,39.6,0.00,0.00
