
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
23,1961,11,1961-11-26,33-031,CHI,,RAM,W 28-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,2,69,34.50,0
24,1961,12,1961-12-03,33-038,CHI,,DET,L 15-16,,1,1,100.00,6,0,0,91.7,6.00,6.00,0,0,,0,,0,0,,0,,,,,,,0,0,7,311,44.43,0
25,1961,13,1961-12-10,33-045,CHI,,CLE,W 17-14,*,16,31,51.61,222,1,2,58.8,7.16,4.90,1,-2,-2.00,0,,0,0,,0,,,,,,,0,0,3,110,36.67,0
26,1961,14,1961-12-17,33-052,CHI,,MIN,W 52-35,*,0,2,0.00,0,0,1,0.0,0.00,-22.50,0,0,,0,,0,0,,0,,,,,,,0,0,2,60,30.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
27,1962,1,1962-09-16,33-325,PIT,@,DET,L 7-45,*,4,12,33.33,83,1,1,51.7,6.92,4.83,1,-2,-2.00,0,,0,0,,0,,,,,,,0,0,6,244,40.67,0
28,1962,2,1962-09-23,33-332,PIT,@,DAL,W 30-28,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,0,0,,0,,,,,,,0,0,5,174,34.80,0
29,1962,3,1962-09-30,33-339,PIT,,NYG,L 27-31,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,,0,0,,0,,,,,,,0,0,1,41,41.00,0
30,1962,4,1962-10-06,33-345,PIT,,PHI,W 13-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,3,121,40.33,0
31,1962,5,1962-10-14,33-353,PIT,@,NYG,W 20-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,7,294,42.00,0
32,1962,6,1962-10-21,33-360,PIT,,DAL,L 27-42,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,2,84,42.00,0
33,1962,7,1962-10-28,34-002,PIT,,CLE,L 14-41,,6,7,85.71,88,1,0,158.3,12.57,15.43,0,0,,0,,0,0,,0,,,,,,,0,0,6,297,49.50,0
34,1962,8,1962-11-04,34-009,PIT,,MIN,W 39-31,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,4,131,32.75,0
35,1962,9,1962-11-11,34-016,PIT,@,STL,W 26-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,5,185,37.00,0
36,1962,10,1962-11-18,34-023,PIT,,WAS,W 23-21,,9,12,75.00,179,2,1,121.5,14.92,14.50,1,-6,-6.00,0,,0,0,,0,,,,,,,0,0,3,105,35.00,0
37,1962,11,1962-11-25,34-030,PIT,@,CLE,L 14-35,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,5,221,44.20,0
38,1962,12,1962-12-02,34-037,PIT,,STL,W 19-7,*,12,27,44.44,246,0,1,61.7,9.11,7.44,0,0,,0,,0,0,,0,,,,,,,0,0,2,96,48.00,0
39,1962,13,1962-12-09,34-044,PIT,@,PHI,W 26-17,*,12,24,50.00,130,1,2,45.5,5.42,2.50,0,0,,0,,0,0,,0,,,,,,,0,0,4,152,38.00,0
40,1962,14,1962-12-16,34-051,PIT,@,WAS,W 27-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,7,256,36.57,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
41,1963,1,1963-09-15,34-324,PIT,@,PHI,T 21-21,*,18,34,52.94,234,1,0,84.7,6.88,7.47,1,1,1.00,0,,0,0,,0,,,,,,,0,0,3,125,41.67,0
42,1963,2,1963-09-22,34-331,PIT,,NYG,W 31-0,*,8,14,57.14,101,2,1,89.6,7.21,6.86,0,0,,0,,0,0,,0,,,,,,,0,0,8,295,36.88,0
43,1963,3,1963-09-29,34-338,PIT,,STL,W 23-10,*,7,18,38.89,79,0,1,29.6,4.39,1.89,0,0,,0,,0,0,,0,,,,,,,0,0,7,280,40.00,0
44,1963,4,1963-10-05,34-344,PIT,@,CLE,L 23-35,*,18,35,51.43,289,2,1,86.5,8.26,8.11,1,7,7.00,0,,0,0,,0,,,,,,,0,0,2,100,50.00,0
