
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,24-202,TAM,@,DET,W 31-27,,6,15,40.00,102,2,0,103.3,6.80,9.47,3,18,6.00,0
2,1987,4,1987-10-11,24-209,TAM,,SDG,L 13-17,,2,9,22.22,21,0,1,0.0,2.33,-2.67,4,51,12.75,0
,,,2 Games,,,,,1-1-0,,8,24,33.33,123,2,1,61.6,5.13,4.92,7,69,9.86,0
