
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1998,1,1998-09-06,24-207,BAL,,PIT,L 13-20,1,0,0.00,0,0,0,,0,0,0,,,
2,1998,16,1998-12-27,24-319,BAL,,DET,W 19-10,1,0,0.00,0,1,2,50.00,1,0,0,56.2,0.50,0.50
,,,2 Games,,,,,1-1-0,2,0,0.00,0,1,2,50.00,1,0,0,56.2,0.50,0.50
