
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1990,6,1990-10-14,22-075,DET,@,KAN,L 24-43,,4,7,57.14,65,1,0,128.0,9.29,12.14,0,0,,0
2,1990,9,1990-11-11,22-103,DET,,MIN,L 7-17,*,5,11,45.45,48,0,2,18.6,4.36,-3.82,6,34,5.67,0
3,1990,10,1990-11-18,22-110,DET,@,NYG,L 0-20,,3,7,42.86,37,0,0,59.8,5.29,5.29,0,0,,0
4,1990,16,1990-12-30,22-152,DET,@,SEA,L 10-30,,1,5,20.00,14,0,0,39.6,2.80,2.80,1,30,30.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
5,1991,12,1991-11-24,23-116,DET,@,MIN,W 34-14,,0,0,,0,0,0,,,,4,6,1.50,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
6,1992,13,1992-12-06,24-128,DET,@,GNB,L 10-38,,13,23,56.52,133,1,1,69.7,5.78,4.70,6,22,3.67,0
7,1992,14,1992-12-13,24-135,DET,,CLE,W 24-14,*,10,14,71.43,138,2,0,142.3,9.86,12.71,5,68,13.60,0
8,1992,15,1992-12-20,24-142,DET,,CHI,W 16-3,*,12,20,60.00,290,0,2,64.6,14.50,10.00,5,9,1.80,0
9,1992,16,1992-12-28,24-150,DET,@,SFO,L 6-24,*,15,29,51.72,116,0,1,47.5,4.00,2.45,4,25,6.25,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
10,1993,3,1993-09-19,25-050,DET,@,NOR,L 3-14,,3,5,60.00,17,0,0,66.2,3.40,3.40,1,1,1.00,0
11,1993,4,1993-09-26,25-057,DET,,PHO,W 26-20,*,11,24,45.83,194,1,0,87.8,8.08,8.92,1,8,8.00,0
12,1993,5,1993-10-03,25-064,DET,@,TAM,L 10-27,*,5,14,35.71,56,0,1,18.8,4.00,0.79,2,11,5.50,0
13,1993,9,1993-11-07,25-099,DET,,TAM,W 23-0,,0,0,,0,0,0,,,,2,-3,-1.50,0
14,1993,12,1993-12-05,25-127,DET,,MIN,L 0-13,,1,2,50.00,4,0,1,16.7,2.00,-20.50,1,6,6.00,0
,,,14 Games,,,,,5-9-0,,83,161,51.55,1112,5,8,63.5,6.91,5.29,38,217,5.71,0
